Row,Column,Droplet
0,0,3
0,1,3
0,2,3
0,3,3
0,4,3
0,5,3
0,6,3
0,7,3
0,8,3
0,9,3
0,10,3
0,11,3
0,12,3
0,13,3
0,14,3
0,15,3
0,16,3
0,17,3
0,18,3
0,19,3
0,20,3
0,21,3
0,22,3
0,23,3
1,23,3
1,22,3
1,21,3
1,20,3
1,19,3
1,18,3
1,17,3
1,16,3
1,15,3
1,14,3
1,13,3
1,12,3
1,11,3
1,10,3
1,9,3
1,8,3
1,7,3
1,6,3
1,5,3
1,4,3
1,3,3
1,2,3
1,1,3
1,0,3
2,0,3
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,3
2,13,3
2,14,3
2,15,3
2,16,3
2,17,3
2,18,3
2,19,3
2,20,3
2,21,3
2,22,3
2,23,3
3,23,3
3,22,3
3,21,3
3,20,3
3,19,3
3,18,3
3,17,3
3,16,3
3,15,3
3,14,3
3,13,3
3,12,3
3,11,3
3,10,3
3,9,3
3,8,3
3,7,3
3,6,3
3,5,3
3,4,3
3,3,3
3,2,3
3,1,3
3,0,3
