Row,Column,Droplet
0,0,26
0,1,26
0,2,26
0,3,26
0,4,26
0,5,26
0,6,26
0,7,26
0,8,26
0,9,26
0,10,26
0,11,26
0,12,26
0,13,26
0,14,26
0,15,26
0,16,26
0,17,26
0,18,26
0,19,26
0,20,26
0,21,26
0,22,26
0,23,26
1,23,26
1,22,26
1,21,26
1,20,26
1,19,26
1,18,26
1,17,26
1,16,26
1,15,26
1,14,26
1,13,26
1,12,26
1,11,26
1,10,26
1,9,26
1,8,26
1,7,26
1,6,26
1,5,26
1,4,26
1,3,26
1,2,26
1,1,26
1,0,26
2,0,26
2,1,26
2,2,26
2,3,26
2,4,26
2,5,26
2,6,26
2,7,26
2,8,26
2,9,26
2,10,26
2,11,26
2,12,26
2,13,26
2,14,26
2,15,26
2,16,26
2,17,26
2,18,26
2,19,26
2,20,26
2,21,26
2,22,26
2,23,26
3,23,26
3,22,26
3,21,26
3,20,26
3,19,26
3,18,26
3,17,26
3,16,26
3,15,26
3,14,26
3,13,26
3,12,26
3,11,26
3,10,26
3,9,26
3,8,26
3,7,26
3,6,26
3,5,26
3,4,26
3,3,26
3,2,26
3,1,26
3,0,26
