Row,Column,Droplet,Frequency,Width
0,0,5,20,30
0,1,5,20,30
0,2,5,20,30
0,3,5,20,30
0,4,5,20,30
0,5,5,20,30
0,6,5,20,30
0,7,5,20,30
0,8,5,20,30
0,9,5,20,30
0,10,5,20,30
0,11,5,20,30
0,12,5,20,30
0,13,5,20,30
0,14,5,20,30
0,15,5,20,30
0,16,5,20,30
0,17,5,20,30
0,18,5,20,30
0,19,5,20,30
0,20,5,20,30
0,21,5,20,30
0,22,5,20,30
0,23,5,20,30
1,23,5,20,30
1,22,5,20,30
1,21,5,20,30
1,20,5,20,30
1,19,5,20,30
1,18,5,20,30
1,17,5,20,30
1,16,5,20,30
1,15,5,20,30
1,14,5,20,30
1,13,5,20,30
1,12,5,20,30
1,11,5,20,30
1,10,5,20,30
1,9,5,20,30
1,8,5,20,30
1,7,5,20,30
1,6,5,20,30
1,5,5,20,30
1,4,5,20,30
1,3,5,20,30
1,2,5,20,30
1,1,5,20,30
1,0,5,20,30
2,0,5,20,30
2,1,5,20,30
2,2,5,20,30
2,3,5,20,30
2,4,5,20,30
2,5,5,20,30
2,6,5,20,30
2,7,5,20,30
2,8,5,20,30
2,9,5,20,30
2,10,5,20,30
2,11,5,20,30
2,12,5,20,30
2,13,5,20,30
2,14,5,20,30
2,15,5,20,30
2,16,5,20,30
2,17,5,20,30
2,18,5,20,30
2,19,5,20,30
2,20,5,20,30
2,21,5,20,30
2,22,5,20,30
2,23,5,20,30
3,23,5,20,30
3,22,5,20,30
3,21,5,20,30
3,20,5,20,30
3,19,5,20,30
3,18,5,20,30
3,17,5,20,30
3,16,5,20,30
3,15,5,20,30
3,14,5,20,30
3,13,5,20,30
3,12,5,20,30
3,11,5,20,30
3,10,5,20,30
3,9,5,20,30
3,8,5,20,30
3,7,5,20,30
3,6,5,20,30
3,5,5,20,30
3,4,5,20,30
3,3,5,20,30
3,2,5,20,30
3,1,5,20,30
3,0,5,20,30
4,0,5,20,30
4,1,5,20,30
4,2,5,20,30
4,3,5,20,30
4,4,5,20,30
4,5,5,20,30
4,6,5,20,30
4,7,5,20,30
4,8,5,20,30
4,9,5,20,30
4,10,5,20,30
4,11,5,20,30
4,12,5,20,30
4,13,5,20,30
4,14,5,20,30
4,15,5,20,30
4,16,5,20,30
4,17,5,20,30
4,18,5,20,30
4,19,5,20,30
4,20,5,20,30
4,21,5,20,30
4,22,5,20,30
4,23,5,20,30
5,23,5,20,30
5,22,5,20,30
5,21,5,20,30
5,20,5,20,30
5,19,5,20,30
5,18,5,20,30
5,17,5,20,30
5,16,5,20,30
5,15,5,20,30
5,14,5,20,30
5,13,5,20,30
5,12,5,20,30
5,11,5,20,30
5,10,5,20,30
5,9,5,20,30
5,8,5,20,30
5,7,5,20,30
5,6,5,20,30
5,5,5,20,30
5,4,5,20,30
5,3,5,20,30
5,2,5,20,30
5,1,5,20,30
5,0,5,20,30
6,0,5,20,30
6,1,5,20,30
6,2,5,20,30
6,3,5,20,30
6,4,5,20,30
6,5,5,20,30
6,6,5,20,30
6,7,5,20,30
6,8,5,20,30
6,9,5,20,30
6,10,5,20,30
