Row,Column,Droplet
0,0,2
0,2,2
0,3,2
0,5,2
0,6,2
0,9,2
0,11,2
0,12,2
0,13,2
0,15,2
0,17,2
0,18,2
0,19,2
0,23,2
1,20,2
1,19,2
1,17,2
1,16,2
1,15,2
1,13,2
1,12,2
1,11,2
1,10,2
1,8,2
1,6,2
1,5,2
2,0,2
2,2,2
2,3,2
2,4,2
2,7,2
2,8,2
2,11,2
2,13,2
2,15,2
2,17,2
2,18,2
2,20,2
2,21,2
3,22,2
3,18,2
3,15,2
3,14,2
3,12,2
3,10,2
3,8,2
3,6,2
3,4,2
4,1,2
4,3,2
4,5,2
4,7,2
4,9,2
4,12,2
4,13,2
4,15,2
4,17,2
5,21,2
5,20,2
5,19,2
5,18,2
5,17,2
5,13,2
5,12,2
5,11,2
5,7,2
5,6,2
5,4,2
5,2,2
5,0,2
6,1,2
6,3,2
6,6,2
6,7,2
6,8,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,2
6,15,2
6,19,2
6,22,2
7,21,2
7,19,2
7,16,2
7,15,2
7,14,2
7,12,2
7,10,2
7,7,2
7,5,2
7,4,2
7,1,2
8,5,2
8,6,2
8,14,2
8,16,2
8,17,2
8,22,2
8,23,2
9,23,2
9,21,2
9,19,2
9,16,2
9,15,2
9,13,2
9,7,2
9,2,2
9,1,2
10,0,2
10,2,2
10,6,2
10,8,2
10,10,2
10,18,2
10,20,2
10,23,2
11,22,2
11,21,2
11,20,2
11,16,2
11,15,2
11,14,2
11,13,2
11,12,2
11,10,2
11,9,2
11,8,2
11,6,2
11,4,2
11,3,2
11,2,2
11,1,2
12,0,2
12,2,2
12,3,2
12,7,2
12,9,2
12,14,2
12,15,2
12,16,2
12,18,2
12,20,2
12,21,2
13,21,2
13,20,2
13,19,2
13,17,2
13,15,2
13,14,2
13,12,2
13,9,2
13,8,2
13,5,2
13,1,2
13,0,2
14,3,2
14,4,2
14,5,2
14,8,2
14,11,2
14,12,2
14,13,2
14,16,2
14,19,2
14,21,2
14,22,2
15,21,2
15,19,2
15,18,2
15,17,2
15,16,2
15,15,2
15,13,2
15,12,2
15,11,2
15,10,2
15,6,2
15,3,2
