Row,Column,Droplet
0,1,2
0,4,2
0,5,2
0,10,2
0,12,2
0,13,2
0,19,2
1,23,2
1,22,2
1,21,2
1,20,2
1,17,2
1,15,2
1,10,2
1,8,2
1,5,2
1,4,2
1,1,2
2,1,2
2,4,2
2,5,2
2,8,2
2,12,2
2,13,2
3,16,2
3,12,2
3,7,2
3,6,2
3,4,2
4,0,2
4,5,2
4,10,2
4,11,2
4,14,2
4,21,2
4,23,2
5,15,2
5,11,2
5,8,2
5,7,2
5,4,2
5,0,2
6,1,2
6,8,2
6,14,2
6,15,2
6,21,2
7,22,2
7,19,2
7,14,2
7,5,2
8,0,2
8,6,2
8,7,2
8,12,2
8,22,2
9,23,2
9,12,2
9,11,2
9,8,2
9,4,2
9,1,2
10,0,2
10,2,2
10,3,2
10,11,2
10,12,2
10,14,2
10,15,2
10,22,2
10,23,2
11,23,2
11,21,2
11,20,2
11,17,2
11,15,2
11,5,2
11,3,2
11,0,2
12,4,2
12,10,2
12,11,2
12,13,2
12,14,2
12,19,2
12,21,2
13,20,2
13,16,2
13,12,2
13,5,2
14,0,2
14,5,2
14,6,2
14,8,2
14,10,2
15,2,2
