Row,Column,Droplet
0,0,2
0,7,2
0,15,2
0,18,2
0,23,2
1,19,2
1,16,2
1,13,2
1,12,2
1,7,2
1,3,2
1,0,2
2,2,2
2,3,2
2,6,2
2,11,2
2,16,2
2,19,2
3,23,2
3,17,2
3,5,2
4,4,2
4,6,2
4,7,2
4,17,2
4,20,2
5,23,2
5,16,2
5,14,2
5,13,2
5,9,2
5,5,2
6,0,2
6,5,2
6,12,2
6,13,2
6,18,2
6,23,2
7,12,2
7,4,2
7,3,2
7,1,2
7,0,2
8,9,2
8,14,2
8,19,2
9,22,2
9,21,2
9,20,2
9,18,2
9,15,2
9,10,2
9,6,2
9,3,2
10,5,2
10,6,2
10,7,2
10,16,2
10,17,2
10,21,2
11,19,2
11,16,2
11,9,2
11,7,2
11,6,2
11,4,2
11,2,2
11,1,2
12,0,2
12,1,2
12,3,2
12,7,2
12,8,2
12,15,2
12,16,2
12,17,2
12,23,2
13,14,2
13,7,2
13,3,2
13,2,2
13,0,2
14,4,2
14,7,2
14,9,2
14,12,2
14,16,2
14,18,2
14,21,2
14,23,2
15,23,2
15,22,2
15,21,2
15,17,2
15,16,2
15,13,2
15,11,2
15,6,2
15,5,2
15,4,2
