Row,Column,Droplet
0,1,2
0,10,2
1,18,2
1,17,2
1,15,2
1,3,2
2,2,2
2,4,2
2,7,2
2,16,2
3,11,2
3,8,2
3,5,2
3,3,2
3,1,2
4,6,2
4,11,2
5,16,2
5,15,2
5,13,2
5,10,2
5,2,2
6,0,2
6,4,2
6,6,2
6,10,2
6,12,2
6,15,2
6,18,2
6,20,2
6,23,2
7,10,2
7,5,2
7,0,2
8,1,2
8,2,2
8,3,2
8,11,2
8,13,2
9,19,2
9,15,2
9,3,2
9,1,2
10,5,2
10,9,2
10,16,2
10,19,2
10,20,2
11,15,2
11,13,2
11,12,2
11,4,2
11,3,2
12,1,2
12,7,2
12,9,2
12,14,2
12,19,2
13,19,2
13,17,2
13,13,2
13,12,2
13,10,2
13,0,2
14,7,2
14,8,2
14,13,2
14,15,2
14,17,2
14,19,2
14,21,2
14,22,2
15,23,2
15,19,2
15,8,2
15,5,2
