Row,Column,Droplet
0,0,2
0,3,2
0,5,2
0,7,2
0,12,2
0,14,2
0,17,2
0,20,2
1,23,2
1,14,2
1,11,2
1,9,2
1,7,2
1,6,2
1,5,2
1,4,2
2,5,2
2,8,2
2,10,2
2,15,2
2,22,2
3,23,2
3,21,2
3,19,2
3,17,2
3,14,2
3,12,2
3,9,2
4,14,2
4,15,2
4,19,2
5,20,2
5,1,2
6,2,2
6,7,2
6,9,2
6,19,2
7,17,2
7,13,2
7,6,2
8,4,2
8,17,2
9,17,2
9,8,2
9,5,2
9,4,2
9,0,2
10,11,2
11,8,2
11,7,2
11,2,2
11,0,2
12,6,2
12,8,2
12,15,2
12,16,2
13,20,2
13,14,2
13,3,2
14,1,2
14,10,2
14,14,2
14,16,2
14,20,2
14,23,2
15,22,2
15,21,2
15,20,2
15,18,2
15,11,2
15,3,2
15,2,2
15,1,2
15,0,2
