Row,Column,Droplet
0,0,2
0,1,4
0,2,1
0,3,7
0,4,4
0,5,3
0,6,1
0,7,1
0,8,1
0,9,5
0,10,5
0,11,4
0,12,6
0,13,1
0,14,2
0,15,4
0,16,6
0,17,1
0,18,5
0,19,8
0,20,6
0,21,2
0,22,6
0,23,4
1,23,1
1,22,10
1,20,4
1,19,5
1,18,5
1,17,5
1,16,8
1,15,3
1,14,5
1,13,5
1,12,5
1,11,5
1,10,2
1,9,2
1,8,5
1,7,6
1,6,1
1,5,6
1,4,1
1,3,6
1,2,1
1,1,4
1,0,5
2,0,1
2,1,6
2,2,5
2,3,6
2,4,6
2,5,5
2,6,2
2,7,2
2,8,5
2,9,2
2,10,5
2,11,5
2,12,3
2,13,2
2,14,8
2,15,5
2,16,2
2,17,3
2,18,6
2,19,5
2,20,4
2,21,5
3,23,1
3,22,1
3,21,10
3,20,1
3,19,2
3,18,5
3,17,2
3,16,1
3,15,2
3,14,1
3,13,4
3,12,2
3,10,6
3,9,5
3,8,7
3,7,2
3,6,4
3,5,1
3,4,6
3,3,7
3,1,10
3,0,5
4,0,8
4,1,5
4,2,7
4,3,3
4,4,8
4,5,8
4,6,3
4,7,1
4,8,2
4,9,5
4,10,5
4,11,4
4,12,2
4,13,5
4,14,8
4,15,1
4,16,2
4,17,7
4,18,2
4,19,7
4,20,2
4,21,7
4,22,1
4,23,1
5,23,6
5,22,4
5,21,4
5,20,2
5,19,1
5,18,2
5,17,1
5,16,1
5,15,1
5,13,8
5,12,1
5,11,6
5,10,1
5,9,6
5,8,6
5,7,6
5,5,10
5,4,3
5,3,7
5,2,2
5,1,5
5,0,6
6,0,8
6,1,5
6,2,4
6,3,8
6,4,6
6,5,2
6,6,1
6,7,4
6,8,6
6,9,6
6,10,2
6,11,2
6,12,5
6,13,4
6,14,10
6,15,1
6,16,5
6,17,1
6,19,4
6,20,2
6,21,5
6,22,5
6,23,2
7,23,6
7,22,1
7,21,2
7,20,5
7,19,6
7,18,6
7,17,5
7,16,3
7,15,7
7,14,5
7,13,3
7,12,4
7,11,10
7,10,10
7,9,2
7,8,5
7,7,7
7,6,6
7,5,2
7,4,5
7,3,4
7,2,1
7,1,4
7,0,4
8,0,2
8,1,1
8,2,7
8,3,6
8,4,8
8,5,6
8,6,4
8,7,1
8,8,8
8,9,5
8,11,6
8,12,4
8,13,5
8,14,7
8,15,6
8,16,7
8,17,4
8,18,6
8,19,5
8,20,1
8,21,5
8,22,5
8,23,5
9,23,4
9,22,2
9,21,2
9,20,3
9,19,7
9,18,1
9,16,1
9,15,5
9,14,3
9,13,5
9,12,8
9,11,6
9,9,8
9,8,10
9,7,5
9,6,6
9,5,2
9,4,1
9,2,5
9,1,6
9,0,10
10,1,6
10,2,8
10,3,2
10,4,1
10,5,4
10,6,1
10,7,2
10,8,8
10,9,4
10,10,2
10,11,7
10,13,8
10,14,10
10,15,7
10,16,6
10,17,4
10,18,6
10,19,3
10,20,5
10,21,4
10,22,3
10,23,1
11,23,7
11,22,5
11,21,5
11,20,8
11,19,7
11,18,5
11,17,5
11,16,2
11,15,5
11,14,5
11,13,1
11,12,6
11,11,7
11,10,4
11,9,10
11,8,4
11,7,5
11,6,7
11,5,4
11,4,4
11,3,4
11,2,10
11,1,4
11,0,5
12,0,1
12,1,4
12,2,5
12,3,5
12,4,8
12,5,8
12,6,5
12,7,4
12,8,1
12,9,5
12,10,4
12,11,5
12,12,1
12,13,5
12,14,6
12,15,4
12,16,5
12,17,2
12,18,6
12,19,8
12,21,8
13,23,3
13,22,6
13,21,2
13,20,8
13,19,5
13,18,4
13,17,7
13,16,10
13,15,8
13,14,6
13,13,1
13,12,5
13,11,2
13,10,4
13,9,6
13,8,5
13,6,4
13,5,1
13,3,7
13,2,6
13,1,2
13,0,5
14,0,1
14,1,1
14,2,8
14,3,4
14,4,5
14,5,8
14,6,5
14,7,8
14,8,8
14,9,3
14,10,3
14,11,2
14,12,7
14,13,2
14,14,3
14,15,6
14,16,8
14,17,7
14,18,6
14,19,1
14,20,1
14,21,2
14,22,7
14,23,1
15,23,4
15,22,1
15,21,5
15,20,7
15,19,3
15,18,10
15,17,6
15,16,3
15,15,1
15,14,5
15,13,6
15,12,2
15,11,6
15,10,5
15,9,7
15,8,8
15,7,6
15,6,2
15,5,5
15,4,7
15,3,5
15,2,5
15,1,4
15,0,5
