Row,Column,Droplet
0,10,2
1,22,2
1,19,2
1,15,2
1,11,2
2,3,2
2,4,2
2,5,2
2,8,2
2,10,2
2,11,2
2,13,2
2,15,2
2,19,2
3,20,2
3,18,2
3,17,2
3,14,2
3,12,2
4,1,2
4,14,2
5,22,2
5,21,2
5,18,2
5,16,2
5,15,2
5,7,2
5,4,2
6,9,2
6,16,2
6,19,2
7,22,2
7,14,2
7,13,2
8,9,2
8,13,2
8,17,2
8,21,2
9,22,2
9,20,2
9,16,2
9,14,2
9,3,2
9,1,2
10,10,2
10,12,2
10,14,2
11,22,2
11,20,2
11,17,2
11,13,2
11,7,2
12,0,2
13,22,2
13,20,2
13,16,2
13,13,2
13,11,2
13,10,2
13,8,2
13,6,2
14,0,2
14,14,2
14,17,2
14,19,2
14,23,2
15,21,2
15,19,2
15,18,2
15,11,2
15,10,2
