Row,Column,Droplet
0,3,2
0,6,2
0,9,2
0,11,2
0,14,2
0,21,2
0,22,2
1,18,2
1,16,2
1,12,2
1,8,2
1,7,2
1,5,2
1,4,2
2,0,2
2,14,2
3,16,2
3,13,2
3,11,2
3,2,2
4,5,2
4,13,2
5,19,2
5,13,2
5,10,2
5,8,2
5,5,2
5,0,2
6,1,2
6,6,2
6,11,2
6,21,2
7,23,2
7,18,2
7,15,2
7,7,2
7,6,2
7,3,2
8,7,2
8,14,2
8,19,2
8,22,2
9,19,2
9,17,2
9,12,2
9,5,2
9,4,2
9,0,2
10,1,2
10,3,2
10,4,2
10,11,2
10,13,2
10,15,2
10,18,2
10,20,2
10,22,2
11,15,2
11,14,2
11,12,2
11,10,2
11,9,2
12,3,2
12,6,2
12,9,2
12,11,2
12,12,2
12,14,2
12,20,2
12,23,2
13,12,2
13,9,2
14,4,2
14,15,2
15,23,2
15,6,2
15,5,2
