Row,Column,Droplet
0,0,2
0,8,2
0,15,2
0,17,2
0,20,2
1,23,2
1,13,2
1,6,2
1,1,2
2,9,2
2,16,2
2,18,2
2,20,2
3,15,2
3,8,2
3,5,2
4,0,2
4,8,2
4,9,2
4,15,2
4,18,2
4,19,2
5,17,2
5,14,2
5,12,2
5,11,2
5,9,2
5,2,2
6,2,2
6,3,2
6,5,2
6,12,2
6,20,2
6,23,2
7,20,2
7,8,2
7,5,2
7,4,2
8,1,2
8,2,2
8,20,2
8,23,2
9,23,2
9,15,2
9,11,2
9,9,2
10,2,2
10,16,2
10,17,2
10,19,2
10,23,2
11,21,2
11,19,2
11,4,2
11,2,2
12,1,2
12,5,2
12,10,2
12,15,2
12,16,2
12,17,2
13,21,2
13,17,2
13,5,2
13,3,2
13,1,2
13,0,2
14,1,2
14,7,2
14,9,2
14,11,2
14,13,2
14,16,2
14,22,2
15,17,2
15,16,2
15,12,2
15,8,2
15,2,2
