well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
I21,0.0,0,85.0,DOPC,8.0,0.0,0.0,3,FITM2,5,2,8,20
I3,3.0,3,85.0,DOPC,14.0,2.0,0.0,3,FITM2,5,2,8,2
G21,5.0,5,85.0,DOPC,20.0,2.0,1.25,3,FITM2,5,2,6,20
K20,6.0,6,85.0,DMPC,8.0,0.0,1.25,3,FITM2,5,2,10,19
G3,8.0,8,85.0,DMPC,14.0,1.0,0.0,3,FITM2,5,2,6,2
F18,9.0,9,85.0,DMPC,14.0,2.0,1.25,3,FITM2,5,2,5,17
N6,11.0,11,85.0,DMPC,20.0,1.0,1.25,3,FITM2,5,2,13,5
H6,14.0,14,185.0,DOPC,14.0,1.0,0.0,3,FITM2,5,2,7,5
P17,20.0,20,185.0,DMPC,14.0,0.0,0.0,3,FITM2,5,2,15,16
M18,21.0,21,185.0,DMPC,14.0,1.0,1.25,3,FITM2,5,2,12,17
A18,22.0,22,185.0,DMPC,20.0,0.0,1.25,3,FITM2,5,2,0,17
L20,25.0,25,85.0,no_lipo,8.0,1.0,1.25,3,FITM2,5,2,11,19
B14,26.0,26,85.0,no_lipo,14.0,0.0,1.25,3,FITM2,5,2,1,13
O17,27.0,27,85.0,no_lipo,14.0,2.0,0.0,3,FITM2,5,2,14,16
E9,28.0,28,85.0,no_lipo,20.0,1.0,0.0,3,FITM2,5,2,4,8
N2,30.0,30,85.0,no_lipo,8.0,0.0,1.25,3,FITM2,5,2,13,1
L3,34.0,34,85.0,no_lipo,20.0,0.0,0.0,3,FITM2,5,2,11,2
E19,43.0,43,185.0,no_lipo,8.0,2.0,1.25,3,FITM2,5,2,4,18
A1,44.0,44,185.0,no_lipo,14.0,0.0,0.0,3,FITM2,5,2,0,0
O10,45.0,45,185.0,no_lipo,14.0,1.0,1.25,3,FITM2,5,2,14,9
C21,46.0,46,185.0,no_lipo,20.0,0.0,1.25,3,FITM2,5,2,2,20
F21,51.0,51,85.0,DOPC,14.0,2.0,0.0,3,PPTI,5,2,5,20
B15,54.0,54,85.0,DMPC,8.0,0.0,1.25,3,PPTI,5,2,1,14
H13,55.0,55,85.0,DMPC,8.0,2.0,0.0,3,PPTI,5,2,7,12
