Row,Column,Droplet
1,11,4
1,9,4
1,8,4
1,7,4
1,6,4
1,5,4
1,4,4
1,3,4
1,1,4
2,1,4
2,2,4
2,4,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
2,11,4
2,12,4
3,12,4
3,11,4
3,9,4
3,8,4
3,6,4
3,4,4
3,3,4
3,1,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,12,4
5,11,4
5,10,4
5,9,4
5,8,4
5,5,4
5,4,4
5,3,4
5,2,4
5,1,4
6,1,4
6,2,4
6,3,4
6,4,4
6,7,4
6,12,4
7,12,4
7,9,4
7,8,4
7,7,4
7,6,4
7,5,4
7,3,4
7,2,4
7,1,4
8,2,4
8,4,4
8,5,4
8,6,4
8,8,4
8,10,4
8,11,4
8,12,4
9,12,4
9,11,4
9,10,4
9,9,4
9,7,4
9,6,4
9,4,4
9,1,4
10,1,4
10,2,4
10,3,4
10,4,4
10,6,4
10,7,4
10,8,4
10,9,4
10,10,4
10,12,4
11,11,4
11,10,4
11,9,4
11,8,4
11,7,4
11,6,4
11,5,4
11,3,4
11,2,4
11,1,4
12,2,4
12,4,4
12,6,4
12,7,4
12,8,4
12,9,4
12,11,4
12,12,4
13,12,4
13,10,4
13,9,4
13,8,4
13,7,4
13,5,4
13,4,4
13,3,4
13,2,4
13,1,4
14,1,4
14,2,4
14,3,4
14,4,4
14,5,4
14,6,4
14,7,4
14,8,4
14,9,4
14,10,4
14,11,4
15,11,4
15,9,4
15,8,4
15,7,4
15,6,4
15,5,4
15,4,4
15,3,4
15,2,4
15,1,4
16,1,4
16,2,4
16,3,4
16,4,4
16,6,4
16,8,4
16,11,4
