Row,Column,Droplet
1,12,1
1,11,2
1,10,1
1,9,2
1,5,2
1,4,2
1,3,2
1,2,1
1,1,2
2,2,2
2,3,1
2,5,1
2,6,2
2,7,2
2,8,2
2,11,2
2,12,2
3,10,1
3,9,2
3,7,1
3,6,2
3,5,1
3,4,2
3,3,2
3,2,1
3,1,2
4,1,2
4,2,2
4,3,2
4,4,2
4,7,2
4,8,2
4,9,2
4,10,2
4,11,1
5,12,1
5,11,2
5,10,2
5,9,2
5,8,2
5,7,1
5,6,1
5,5,2
5,4,2
5,3,2
5,2,2
5,1,2
6,2,2
6,3,2
6,4,2
6,5,1
6,6,1
6,7,2
6,8,1
6,9,1
6,10,1
6,11,1
6,12,2
7,11,1
7,10,1
7,9,2
7,5,2
7,4,1
7,3,2
7,1,2
8,1,1
8,2,2
8,3,1
8,4,2
8,6,2
8,7,1
8,9,1
8,10,2
8,12,2
9,12,2
9,9,2
9,8,1
9,7,2
9,5,1
9,3,1
9,2,1
9,1,2
10,1,2
10,2,2
10,5,1
10,6,2
10,7,2
10,8,2
10,9,2
10,11,1
10,12,2
11,12,1
11,11,2
11,10,2
11,9,2
11,8,2
11,6,2
11,5,2
11,4,1
11,3,2
11,1,2
12,1,1
12,2,2
12,3,1
12,4,2
12,5,1
12,7,2
12,10,1
12,11,2
13,12,2
13,11,1
13,10,2
13,9,2
13,7,2
13,6,1
13,4,2
13,1,2
14,1,2
14,2,2
14,4,2
14,5,2
14,6,2
14,8,2
14,9,2
14,10,2
14,11,2
14,12,1
15,12,1
15,11,2
15,10,1
15,9,2
15,6,2
15,5,2
15,4,2
15,2,2
15,1,2
16,1,2
16,3,2
16,5,1
16,7,1
16,8,2
16,9,1
16,10,1
16,12,1
