Row,Column,Droplet
0,10,4
1,14,4
1,12,4
1,9,4
1,6,4
2,0,4
2,1,4
2,3,4
2,4,4
2,10,4
2,14,4
3,16,4
3,15,4
3,8,4
3,6,4
3,2,4
4,1,4
4,8,4
4,9,4
4,13,4
4,14,4
5,13,4
5,11,4
5,10,4
5,7,4
5,6,4
5,1,4
6,9,4
6,11,4
7,9,4
7,1,4
8,7,4
8,17,4
9,17,4
9,16,4
9,11,4
9,5,4
10,1,4
10,7,4
10,13,4
10,16,4
11,16,4
11,12,4
11,11,4
11,6,4
11,1,4
11,0,4
12,0,4
12,2,4
12,5,4
12,8,4
12,11,4
12,12,4
12,13,4
13,14,4
13,8,4
13,7,4
13,4,4
13,1,4
13,0,4
14,0,4
14,2,4
14,9,4
14,14,4
15,17,4
15,16,4
15,14,4
15,11,4
15,10,4
15,9,4
15,6,4
15,4,4
