Row,Column,Droplet
0,0,2
0,1,1
0,3,2
0,4,2
0,5,1
0,6,1
0,8,1
0,9,1
0,12,2
0,15,1
0,16,1
0,17,2
1,16,2
1,15,2
1,14,1
1,13,2
1,12,1
1,11,1
1,9,1
1,6,1
1,5,2
1,4,2
1,3,2
1,1,2
1,0,2
2,0,2
2,1,2
2,2,1
2,3,1
2,5,1
2,8,2
2,9,1
2,10,1
2,11,1
2,14,2
2,15,2
2,16,1
2,17,1
3,15,1
3,12,1
3,10,2
3,9,1
3,8,2
3,6,2
3,5,2
3,4,2
3,2,2
3,1,1
3,0,1
4,0,2
4,2,2
4,3,1
4,4,1
4,6,1
4,7,2
4,8,2
4,10,1
4,11,1
4,12,1
4,13,2
4,14,1
4,15,1
4,17,1
5,17,1
5,15,2
5,14,1
5,12,2
5,10,2
5,9,1
5,7,1
5,6,1
5,5,1
5,4,2
5,2,1
5,0,2
6,1,2
6,4,1
6,5,2
6,6,2
6,10,2
6,11,1
6,12,2
6,14,1
6,16,2
6,17,2
7,15,2
7,14,2
7,13,2
7,11,1
7,8,1
7,7,2
7,6,2
7,3,2
7,2,2
7,0,1
8,1,2
8,2,1
8,3,1
8,4,1
8,6,1
8,7,2
8,8,2
8,10,1
8,11,2
8,12,1
8,15,2
8,16,2
8,17,2
9,17,1
9,16,2
9,15,1
9,14,1
9,13,2
9,11,2
9,9,2
9,6,2
9,3,2
9,2,1
9,1,2
10,1,1
10,3,1
10,4,2
10,5,1
10,6,1
10,8,1
10,9,1
10,10,1
10,11,1
10,13,2
10,14,1
10,15,1
10,16,1
11,17,1
11,16,2
11,15,1
11,14,1
11,13,2
11,12,1
11,10,2
11,7,2
11,6,2
11,4,1
11,3,2
11,0,1
12,1,2
12,3,1
12,5,2
12,7,2
12,8,2
12,9,1
12,10,2
12,11,2
12,12,2
12,13,1
12,15,1
12,16,1
13,13,1
13,12,1
13,11,2
13,10,2
13,9,2
13,8,2
13,7,1
13,6,1
13,4,2
13,3,2
13,2,1
13,1,2
13,0,1
14,0,1
14,1,2
14,2,1
14,6,2
14,7,2
14,8,2
14,9,1
14,11,2
14,12,2
14,13,1
14,15,1
14,16,1
14,17,2
15,12,2
15,11,1
15,10,2
15,8,2
15,7,2
15,6,1
15,5,2
15,2,1
15,1,1
15,0,1
