Row,Column,Droplet
0,1,4
0,2,2
0,3,4
0,5,4
0,6,2
0,7,2
0,8,4
0,9,2
0,10,4
0,11,2
0,14,2
0,15,4
0,16,2
1,17,2
1,16,2
1,15,4
1,14,4
1,13,4
1,12,4
1,11,4
1,8,4
1,4,4
1,3,4
1,0,4
2,0,2
2,2,4
2,4,4
2,5,4
2,6,2
2,9,4
2,10,4
2,11,4
2,12,4
2,13,2
2,14,2
2,15,2
2,16,4
2,17,4
3,17,2
3,16,2
3,14,2
3,12,4
3,11,2
3,10,4
3,8,2
3,7,2
3,5,4
3,4,4
3,3,4
3,2,2
3,1,4
3,0,4
4,1,2
4,2,2
4,4,4
4,6,4
4,7,4
4,9,2
4,11,2
4,12,2
4,13,2
4,14,4
4,15,2
4,16,2
4,17,2
5,17,2
5,16,4
5,13,2
5,11,4
5,10,2
5,9,2
5,7,4
5,6,4
5,5,4
5,2,2
5,1,2
5,0,2
6,0,2
6,2,2
6,3,2
6,4,4
6,6,2
6,9,4
6,14,4
7,17,4
7,12,2
7,11,2
7,9,2
7,8,2
7,7,4
7,5,2
7,3,4
7,2,4
7,1,2
8,0,2
8,1,4
8,2,4
8,3,2
8,4,4
8,5,4
8,6,4
8,8,2
8,9,2
8,10,2
8,12,2
8,13,2
8,16,2
8,17,2
9,16,2
9,15,4
9,12,2
9,11,2
9,10,4
9,9,2
9,8,4
9,7,4
9,6,2
9,5,4
9,4,2
9,3,4
9,2,2
9,1,4
9,0,4
10,2,2
10,3,4
10,5,4
10,6,2
10,7,4
10,8,4
10,10,4
10,11,4
10,12,2
10,17,2
11,17,2
11,16,2
11,15,4
11,14,2
11,12,4
11,11,4
11,9,2
11,8,2
11,5,2
11,4,4
11,3,4
11,1,2
12,0,2
12,1,2
12,2,4
12,4,4
12,6,2
12,8,2
12,9,4
12,13,4
12,14,2
12,15,4
13,17,4
13,16,2
13,15,2
13,14,4
13,13,4
13,12,4
13,10,4
13,9,2
13,8,2
13,7,4
13,2,2
14,2,4
14,4,2
14,5,2
14,7,4
14,8,4
14,9,4
14,10,2
14,11,4
14,12,4
14,13,2
14,14,4
14,15,2
14,16,2
15,17,4
15,16,2
15,14,4
15,13,2
15,12,4
15,9,2
15,7,4
15,6,4
15,5,2
15,4,2
15,2,4
15,1,2
15,0,4
