Row,Column,Droplet
0,2,2
0,3,2
0,6,2
0,10,2
0,11,2
0,15,2
0,17,2
1,10,2
1,9,2
1,7,2
1,5,2
1,2,2
1,1,2
1,0,2
2,2,2
2,3,2
2,6,2
2,16,2
2,17,2
3,11,2
3,9,2
3,3,2
3,2,2
4,0,2
4,4,2
4,6,2
4,9,2
4,13,2
4,15,2
5,16,2
5,15,2
5,14,2
5,13,2
5,12,2
5,11,2
5,10,2
5,9,2
5,8,2
5,7,2
5,4,2
5,0,2
6,2,2
6,3,2
6,4,2
6,5,2
6,14,2
6,16,2
7,12,2
7,11,2
7,9,2
7,1,2
7,0,2
8,1,2
8,3,2
8,5,2
8,7,2
8,11,2
8,14,2
9,14,2
9,11,2
9,9,2
9,6,2
9,4,2
9,3,2
9,1,2
10,1,2
10,3,2
10,5,2
11,12,2
11,9,2
11,8,2
11,6,2
11,5,2
11,2,2
12,6,2
12,15,2
12,17,2
13,17,2
13,14,2
13,11,2
13,4,2
13,3,2
13,2,2
13,0,2
14,2,2
14,3,2
14,8,2
14,9,2
14,12,2
14,13,2
14,14,2
14,16,2
15,10,2
15,7,2
15,5,2
15,0,2
