well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,Liposome_conc,DNA_name,DNA_conc,plate,row,col
B8,0,0,85.0,DOPC,8.0,0.0,3,TFR1,5,1,1,7
O17,1,1,85.0,DOPC,14.0,1.0,3,TFR1,5,1,14,16
O9,2,2,85.0,DOPC,20.0,2.0,3,TFR1,5,1,14,8
H10,3,3,85.0,DMPC,8.0,1.0,3,TFR1,5,1,7,9
O10,4,4,85.0,DMPC,14.0,2.0,3,TFR1,5,1,14,9
I8,5,5,85.0,DMPC,20.0,0.0,3,TFR1,5,1,8,7
H13,6,6,185.0,DOPC,8.0,1.0,3,TFR1,5,1,7,12
K6,7,7,185.0,DOPC,14.0,2.0,3,TFR1,5,1,10,5
F16,8,8,185.0,DOPC,20.0,0.0,3,TFR1,5,1,5,15
A11,9,9,185.0,DMPC,8.0,2.0,3,TFR1,5,1,0,10
B10,10,10,185.0,DMPC,14.0,0.0,3,TFR1,5,1,1,9
J12,11,11,185.0,DMPC,20.0,1.0,3,TFR1,5,1,9,11
F9,12,12,85.0,no_lipo,8.0,0.0,3,TFR1,5,1,5,8
N3,13,13,85.0,no_lipo,14.0,1.0,3,TFR1,5,1,13,2
J2,14,14,85.0,no_lipo,20.0,2.0,3,TFR1,5,1,9,1
G3,15,15,85.0,no_lipo,8.0,1.0,3,TFR1,5,1,6,2
C3,16,16,85.0,no_lipo,14.0,2.0,3,TFR1,5,1,2,2
A18,17,17,85.0,no_lipo,20.0,0.0,3,TFR1,5,1,0,17
J5,18,18,185.0,no_lipo,8.0,1.0,3,TFR1,5,1,9,4
M16,19,19,185.0,no_lipo,14.0,2.0,3,TFR1,5,1,12,15
E1,20,20,185.0,no_lipo,20.0,0.0,3,TFR1,5,1,4,0
F17,21,21,185.0,no_lipo,8.0,2.0,3,TFR1,5,1,5,16
J15,22,22,185.0,no_lipo,14.0,0.0,3,TFR1,5,1,9,14
F1,23,23,185.0,no_lipo,20.0,1.0,3,TFR1,5,1,5,0
P4,24,24,85.0,DOPC,8.0,0.0,3,CD151,5,1,15,3
I11,25,25,85.0,DOPC,14.0,1.0,3,CD151,5,1,8,10
O12,26,26,85.0,DOPC,20.0,2.0,3,CD151,5,1,14,11
E2,27,27,85.0,DMPC,8.0,1.0,3,CD151,5,1,4,1
C11,28,28,85.0,DMPC,14.0,2.0,3,CD151,5,1,2,10
C2,29,29,85.0,DMPC,20.0,0.0,3,CD151,5,1,2,1
E17,30,30,185.0,DOPC,8.0,1.0,3,CD151,5,1,4,16
K9,31,31,185.0,DOPC,14.0,2.0,3,CD151,5,1,10,8
K5,32,32,185.0,DOPC,20.0,0.0,3,CD151,5,1,10,4
L12,33,33,185.0,DMPC,8.0,2.0,3,CD151,5,1,11,11
D16,34,34,185.0,DMPC,14.0,0.0,3,CD151,5,1,3,15
N9,35,35,185.0,DMPC,20.0,1.0,3,CD151,5,1,13,8
K1,36,36,85.0,no_lipo,8.0,0.0,3,CD151,5,1,10,0
F3,37,37,85.0,no_lipo,14.0,1.0,3,CD151,5,1,5,2
H4,38,38,85.0,no_lipo,20.0,2.0,3,CD151,5,1,7,3
D8,39,39,85.0,no_lipo,8.0,1.0,3,CD151,5,1,3,7
I3,40,40,85.0,no_lipo,14.0,2.0,3,CD151,5,1,8,2
H14,41,41,85.0,no_lipo,20.0,0.0,3,CD151,5,1,7,13
D15,42,42,185.0,no_lipo,8.0,1.0,3,CD151,5,1,3,14
N13,43,43,185.0,no_lipo,14.0,2.0,3,CD151,5,1,13,12
A1,44,44,185.0,no_lipo,20.0,0.0,3,CD151,5,1,0,0
C13,45,45,185.0,no_lipo,8.0,2.0,3,CD151,5,1,2,12
K15,46,46,185.0,no_lipo,14.0,0.0,3,CD151,5,1,10,14
C16,47,47,185.0,no_lipo,20.0,1.0,3,CD151,5,1,2,15
H17,48,48,85.0,DOPC,8.0,0.0,3,Blank,5,1,7,16
L18,49,49,85.0,DOPC,14.0,1.0,3,Blank,5,1,11,17
B14,50,50,85.0,DOPC,20.0,2.0,3,Blank,5,1,1,13
M1,51,51,85.0,DMPC,8.0,1.0,3,Blank,5,1,12,0
F7,52,52,85.0,DMPC,14.0,2.0,3,Blank,5,1,5,6
K14,53,53,85.0,DMPC,20.0,0.0,3,Blank,5,1,10,13
I10,54,54,185.0,DOPC,8.0,1.0,3,Blank,5,1,8,9
B12,55,55,185.0,DOPC,14.0,2.0,3,Blank,5,1,1,11
A13,56,56,185.0,DOPC,20.0,0.0,3,Blank,5,1,0,12
P18,57,57,185.0,DMPC,8.0,2.0,3,Blank,5,1,15,17
K17,58,58,185.0,DMPC,14.0,0.0,3,Blank,5,1,10,16
C1,59,59,185.0,DMPC,20.0,1.0,3,Blank,5,1,2,0
G8,60,60,85.0,no_lipo,8.0,0.0,3,Blank,5,1,6,7
E12,61,61,85.0,no_lipo,14.0,1.0,3,Blank,5,1,4,11
L4,62,62,85.0,no_lipo,20.0,2.0,3,Blank,5,1,11,3
