Row,Column,Droplet
0,0,4
0,2,4
0,4,4
0,5,4
0,6,4
0,7,4
0,8,4
0,11,4
0,14,4
0,15,4
0,16,4
0,17,4
1,17,4
1,16,4
1,8,4
1,4,4
1,2,4
1,1,4
1,0,4
2,2,4
2,5,4
2,6,4
2,7,4
2,8,4
2,9,4
2,11,4
2,12,4
2,13,4
2,15,4
2,16,4
3,14,4
3,13,4
3,10,4
3,9,4
3,7,4
3,3,4
4,0,4
4,2,4
4,3,4
4,4,4
4,10,4
4,11,4
4,12,4
4,17,4
5,16,4
5,14,4
5,12,4
5,8,4
5,5,4
5,2,4
5,0,4
6,0,4
6,1,4
6,2,4
6,3,4
6,4,4
6,5,4
6,6,4
6,7,4
6,8,4
6,10,4
6,12,4
6,13,4
6,15,4
6,17,4
7,17,4
7,15,4
7,13,4
7,8,4
7,7,4
7,6,4
7,3,4
7,2,4
7,0,4
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,8,4
8,11,4
8,12,4
8,15,4
8,16,4
9,15,4
9,14,4
9,13,4
9,12,4
9,10,4
9,9,4
9,8,4
9,7,4
9,6,4
9,4,4
9,1,4
9,0,4
10,0,4
10,2,4
10,3,4
10,9,4
10,10,4
10,11,4
10,14,4
10,15,4
10,17,4
11,13,4
11,10,4
11,9,4
11,4,4
11,3,4
11,2,4
12,1,4
12,3,4
12,4,4
12,6,4
12,7,4
12,9,4
12,14,4
12,15,4
12,16,4
13,17,4
13,16,4
13,15,4
13,13,4
13,12,4
13,11,4
13,10,4
13,9,4
13,6,4
13,5,4
13,3,4
13,2,4
14,1,4
14,3,4
14,4,4
14,5,4
14,7,4
14,12,4
14,13,4
14,15,4
15,13,4
15,5,4
15,2,4
15,0,4
