Row,Column,Droplet
0,0,2
0,3,2
0,4,2
0,6,2
0,8,2
0,9,2
0,12,2
0,14,2
0,15,2
0,16,2
0,17,2
0,20,2
1,21,2
1,16,2
1,15,2
1,14,2
1,13,2
1,12,2
1,11,2
1,8,2
1,7,2
1,6,2
1,4,2
1,2,2
1,0,2
2,0,2
2,1,2
2,2,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,18,2
2,21,2
3,23,2
3,21,2
3,15,2
3,11,2
3,10,2
3,8,2
3,7,2
3,6,2
3,4,2
3,1,2
4,1,2
4,4,2
4,5,2
4,8,2
4,9,2
4,10,2
4,11,2
4,12,2
4,13,2
4,14,2
4,15,2
4,16,2
4,17,2
4,19,2
4,20,2
4,22,2
5,21,2
5,20,2
5,19,2
5,18,2
5,17,2
5,14,2
5,13,2
5,12,2
5,11,2
5,10,2
5,8,2
5,6,2
5,4,2
5,0,2
6,0,2
6,3,2
6,5,2
6,7,2
6,9,2
6,12,2
6,17,2
6,21,2
7,19,2
7,14,2
7,12,2
7,9,2
7,8,2
7,7,2
7,6,2
7,3,2
7,2,2
7,1,2
8,0,2
8,3,2
8,5,2
8,6,2
8,9,2
8,10,2
8,11,2
8,13,2
8,14,2
8,16,2
8,19,2
8,20,2
9,22,2
9,20,2
9,18,2
9,16,2
9,12,2
9,11,2
9,8,2
9,6,2
9,4,2
9,2,2
9,1,2
10,0,2
10,2,2
10,3,2
10,4,2
10,6,2
10,7,2
10,10,2
10,11,2
10,14,2
10,15,2
10,16,2
10,17,2
10,19,2
10,20,2
11,20,2
11,17,2
11,9,2
11,8,2
11,7,2
11,6,2
11,2,2
11,1,2
12,2,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,12,2
12,13,2
12,17,2
12,19,2
12,20,2
12,21,2
12,23,2
13,22,2
13,21,2
13,20,2
13,19,2
13,18,2
13,17,2
13,15,2
13,14,2
13,13,2
13,11,2
13,9,2
13,8,2
13,6,2
13,5,2
13,3,2
13,2,2
13,1,2
13,0,2
14,0,2
14,1,2
14,6,2
14,10,2
14,12,2
14,14,2
14,16,2
14,17,2
14,18,2
14,19,2
14,21,2
14,22,2
14,23,2
15,22,2
15,19,2
15,15,2
15,14,2
15,9,2
15,5,2
15,1,2
15,0,2
