Row,Column,Droplet
0,5,2
0,8,2
0,10,2
0,12,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
1,23,2
1,19,2
1,18,2
1,16,2
1,15,2
1,14,2
1,13,2
1,10,2
1,6,2
1,5,2
1,4,2
1,2,2
1,1,2
2,0,2
2,1,2
2,2,2
2,4,2
2,5,2
2,6,2
2,7,2
2,10,2
2,12,2
2,14,2
2,15,2
2,16,2
2,18,2
2,19,2
2,21,2
3,23,2
3,22,2
3,16,2
3,14,2
3,11,2
3,10,2
3,9,2
3,8,2
3,7,2
3,1,2
3,0,2
4,0,2
4,1,2
4,4,2
4,5,2
4,6,2
4,8,2
4,10,2
4,11,2
4,13,2
4,14,2
4,16,2
4,20,2
4,22,2
5,23,2
5,21,2
5,16,2
5,15,2
5,14,2
5,13,2
5,12,2
5,9,2
5,8,2
5,7,2
5,6,2
5,2,2
6,1,2
6,3,2
6,4,2
6,6,2
6,7,2
6,12,2
6,13,2
6,15,2
6,17,2
6,18,2
6,20,2
6,22,2
7,22,2
7,20,2
7,18,2
7,17,2
7,16,2
7,15,2
7,13,2
7,12,2
7,11,2
7,3,2
7,2,2
7,0,2
8,0,2
8,2,2
8,5,2
8,6,2
8,8,2
8,9,2
8,12,2
8,22,2
9,23,2
9,22,2
9,19,2
9,17,2
9,16,2
9,13,2
9,11,2
9,10,2
9,8,2
9,5,2
9,4,2
9,3,2
9,1,2
9,0,2
10,0,2
10,1,2
10,3,2
10,4,2
10,5,2
10,8,2
10,10,2
10,12,2
10,13,2
10,14,2
10,15,2
10,19,2
10,22,2
10,23,2
11,22,2
11,20,2
11,19,2
11,18,2
11,17,2
11,14,2
11,13,2
11,11,2
11,10,2
11,8,2
11,7,2
11,4,2
11,2,2
11,0,2
12,0,2
12,1,2
12,3,2
12,5,2
12,7,2
12,12,2
12,15,2
12,18,2
12,22,2
12,23,2
13,19,2
13,18,2
13,17,2
13,14,2
13,11,2
13,10,2
13,5,2
13,4,2
13,2,2
13,1,2
13,0,2
14,3,2
14,4,2
14,6,2
14,10,2
14,11,2
14,12,2
14,15,2
14,19,2
14,20,2
15,18,2
15,17,2
15,16,2
15,15,2
15,14,2
15,11,2
15,6,2
15,4,2
15,2,2
15,1,2
15,0,2
