Row,Column,Droplet
0,3,4
0,5,4
0,11,4
0,13,4
0,14,4
1,18,4
1,15,4
1,12,4
1,1,4
2,7,4
2,8,4
2,9,4
2,12,4
3,23,4
3,18,4
3,15,4
3,10,4
3,7,4
3,2,4
4,0,4
4,1,4
4,8,4
4,11,4
4,20,4
5,17,4
5,14,4
5,9,4
5,8,4
5,3,4
6,1,4
6,2,4
6,3,4
6,5,4
6,6,4
6,9,4
6,10,4
6,13,4
6,14,4
7,22,4
7,19,4
7,18,4
7,14,4
7,13,4
7,6,4
8,0,4
8,3,4
8,6,4
8,8,4
8,9,4
8,14,4
8,15,4
8,16,4
8,18,4
8,19,4
8,20,4
9,20,4
9,17,4
9,12,4
9,9,4
9,8,4
9,1,4
10,5,4
10,11,4
10,16,4
10,19,4
10,20,4
10,23,4
11,23,4
11,22,4
11,21,4
11,17,4
11,6,4
11,2,4
12,5,4
12,7,4
12,9,4
12,12,4
12,16,4
12,17,4
12,18,4
13,18,4
13,15,4
13,8,4
13,1,4
14,0,4
14,7,4
14,8,4
14,9,4
14,11,4
14,16,4
14,18,4
14,22,4
15,23,4
15,15,4
15,14,4
15,2,4
