Row,Column,Droplet
0,7,4
0,19,4
1,22,4
1,20,4
1,17,4
1,16,4
1,14,4
1,13,4
1,10,4
1,8,4
1,7,4
1,2,4
2,1,4
2,3,4
2,4,4
2,5,4
2,6,4
2,11,4
2,14,4
2,16,4
2,17,4
2,22,4
3,21,4
3,19,4
3,14,4
3,8,4
3,5,4
3,3,4
3,1,4
3,0,4
4,4,4
4,10,4
4,13,4
4,19,4
5,23,4
5,15,4
5,2,4
6,0,4
6,7,4
6,15,4
6,16,4
6,19,4
6,20,4
7,20,4
7,15,4
7,9,4
7,7,4
7,5,4
7,3,4
7,2,4
8,1,4
8,7,4
9,21,4
9,14,4
9,10,4
9,7,4
9,5,4
9,4,4
10,2,4
10,4,4
10,9,4
10,10,4
10,12,4
10,13,4
10,21,4
10,22,4
11,5,4
11,3,4
12,0,4
12,1,4
12,2,4
12,3,4
12,6,4
12,10,4
12,11,4
12,14,4
12,19,4
12,21,4
13,13,4
13,12,4
13,5,4
13,2,4
14,3,4
14,4,4
14,5,4
14,6,4
14,10,4
14,13,4
14,15,4
14,17,4
15,21,4
15,19,4
15,12,4
15,10,4
15,9,4
15,4,4
