Row,Column,Droplet
0,0,2
0,2,2
0,5,2
0,6,2
0,8,2
0,12,2
0,13,2
0,14,2
0,18,2
0,19,2
0,21,2
1,22,2
1,19,2
1,17,2
1,14,2
1,12,2
1,11,2
1,10,2
1,6,2
1,5,2
1,3,2
1,2,2
1,1,2
1,0,2
2,0,2
2,2,2
2,8,2
2,10,2
2,12,2
2,13,2
2,20,2
2,21,2
3,22,2
3,21,2
3,20,2
3,19,2
3,18,2
3,14,2
3,13,2
3,12,2
3,10,2
3,9,2
3,8,2
3,7,2
3,5,2
3,4,2
3,1,2
4,0,2
4,2,2
4,6,2
4,12,2
4,13,2
4,14,2
4,17,2
4,18,2
4,19,2
4,20,2
4,21,2
4,22,2
4,23,2
5,23,2
5,21,2
5,19,2
5,17,2
5,14,2
5,6,2
5,5,2
5,3,2
5,2,2
5,0,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,2
6,15,2
6,16,2
6,19,2
7,23,2
7,21,2
7,17,2
7,13,2
7,12,2
7,10,2
7,7,2
7,6,2
7,5,2
7,4,2
7,2,2
7,0,2
8,0,2
8,1,2
8,4,2
8,7,2
8,8,2
8,10,2
8,12,2
8,16,2
8,18,2
8,20,2
8,21,2
8,22,2
9,21,2
9,20,2
9,19,2
9,16,2
9,13,2
9,10,2
9,8,2
9,4,2
9,3,2
9,2,2
9,0,2
10,0,2
10,1,2
10,4,2
10,10,2
10,12,2
10,16,2
10,19,2
10,21,2
10,22,2
10,23,2
11,20,2
11,19,2
11,15,2
11,14,2
11,12,2
11,9,2
11,8,2
11,7,2
11,6,2
11,5,2
11,3,2
11,2,2
11,1,2
12,0,2
12,4,2
12,5,2
12,12,2
12,13,2
12,14,2
12,15,2
12,17,2
12,19,2
12,21,2
12,23,2
13,23,2
13,18,2
13,17,2
13,14,2
13,13,2
13,12,2
13,11,2
13,9,2
13,8,2
13,7,2
13,5,2
13,4,2
13,3,2
13,2,2
13,1,2
13,0,2
14,0,2
14,1,2
14,2,2
14,4,2
14,6,2
14,8,2
14,9,2
14,16,2
14,18,2
14,19,2
14,21,2
14,23,2
15,23,2
15,21,2
15,20,2
15,19,2
15,18,2
15,17,2
15,16,2
15,13,2
15,10,2
15,3,2
15,2,2
