Row,Column,Droplet
0,0,1
0,2,1
0,5,1
0,7,1
0,8,2
0,9,1
0,10,2
0,11,1
0,12,1
0,13,1
0,14,1
0,15,2
0,17,2
0,18,1
0,20,2
0,21,1
0,22,1
1,21,1
1,19,2
1,18,2
1,17,1
1,16,2
1,15,1
1,14,1
1,13,1
1,11,2
1,10,1
1,9,1
1,7,1
1,6,2
1,5,1
1,2,2
1,1,2
2,0,1
2,2,2
2,4,2
2,5,1
2,6,1
2,7,2
2,9,2
2,11,1
2,13,1
2,14,1
2,15,2
2,17,2
2,18,2
2,19,1
2,20,1
2,22,2
2,23,1
3,22,2
3,21,1
3,18,1
3,17,2
3,16,1
3,15,2
3,12,2
3,10,1
3,9,1
3,8,2
3,7,2
3,6,1
3,5,1
3,4,1
3,3,1
3,1,1
4,1,1
4,4,1
4,6,1
4,7,2
4,8,1
4,9,2
4,12,2
4,13,2
4,15,2
4,16,1
4,17,2
4,20,2
4,21,2
4,22,1
5,23,2
5,20,1
5,19,1
5,18,2
5,17,2
5,16,1
5,15,2
5,14,1
5,13,2
5,12,2
5,10,1
5,8,2
5,7,1
5,5,1
5,4,2
5,2,1
5,1,2
6,1,1
6,2,2
6,4,1
6,5,1
6,6,2
6,7,2
6,8,2
6,9,2
6,10,2
6,12,2
6,13,2
6,15,1
6,16,1
6,17,1
6,19,2
6,20,1
6,21,2
6,22,2
6,23,1
7,21,2
7,19,2
7,18,2
7,16,2
7,15,2
7,13,1
7,12,1
7,11,2
7,10,2
7,8,2
7,7,2
7,4,2
7,3,2
7,2,2
7,1,1
7,0,2
8,0,1
8,1,1
8,3,1
8,4,1
8,6,1
8,7,2
8,9,2
8,10,1
8,12,1
8,13,2
8,14,1
8,15,1
8,16,2
8,18,2
8,20,2
8,21,1
9,23,2
9,22,1
9,20,1
9,15,2
9,14,1
9,13,2
9,12,2
9,11,1
9,10,1
9,9,2
9,8,1
9,7,1
9,6,1
9,5,1
9,4,2
9,3,1
9,2,2
9,1,1
9,0,2
10,0,1
10,2,2
10,3,1
10,4,2
10,5,1
10,6,2
10,7,2
10,8,1
10,10,1
10,11,2
10,13,2
10,15,1
10,16,1
10,19,1
10,20,1
10,22,1
10,23,2
11,22,2
11,20,1
11,19,2
11,18,1
11,16,1
11,15,1
11,14,2
11,12,1
11,11,2
11,10,1
11,9,1
11,8,2
11,6,1
11,3,1
11,1,1
12,1,2
12,2,2
12,3,2
12,5,2
12,6,2
12,8,1
12,11,2
12,13,1
12,14,2
12,15,2
12,16,1
12,17,2
12,18,2
12,19,2
12,21,2
13,21,2
13,17,1
13,13,1
13,12,2
13,10,2
13,6,1
13,4,2
13,3,2
13,0,2
14,0,2
14,1,2
14,7,1
14,8,1
14,11,2
14,13,1
14,14,1
14,15,1
14,17,2
14,18,2
14,19,1
14,21,2
14,22,1
14,23,1
15,23,1
15,22,2
15,21,2
15,20,2
15,16,2
15,15,1
15,13,2
15,12,2
15,11,2
15,10,1
15,9,1
15,8,1
15,7,2
15,6,2
15,5,1
15,3,2
15,2,2
15,1,1
15,0,1
