Row,Column,Droplet
0,0,2
0,1,2
0,4,4
0,5,2
0,6,4
0,8,2
0,10,2
0,11,4
0,12,2
0,13,2
0,15,4
0,17,4
0,18,4
0,20,2
0,21,4
0,22,4
1,23,2
1,20,2
1,17,4
1,16,4
1,15,2
1,14,2
1,13,4
1,12,4
1,11,4
1,10,4
1,9,4
1,1,4
1,0,4
2,2,4
2,4,4
2,7,2
2,8,4
2,9,2
2,10,4
2,11,4
2,12,2
2,13,2
2,14,4
2,17,2
2,19,2
2,21,4
2,22,4
2,23,2
3,23,4
3,22,4
3,21,4
3,20,4
3,19,4
3,17,2
3,14,4
3,13,4
3,12,4
3,11,2
3,9,2
3,8,2
3,6,4
3,5,2
3,4,4
3,3,4
3,2,4
3,1,4
3,0,2
4,0,4
4,1,2
4,3,4
4,5,4
4,7,2
4,8,4
4,9,4
4,11,4
4,13,2
4,14,2
4,18,2
4,19,4
4,20,4
4,21,4
4,22,2
4,23,4
5,23,2
5,21,4
5,20,2
5,19,4
5,18,4
5,17,4
5,16,4
5,15,4
5,13,2
5,12,2
5,10,4
5,3,2
5,2,2
5,1,2
5,0,4
6,1,4
6,2,2
6,3,4
6,4,2
6,6,4
6,11,2
6,14,2
6,15,4
6,16,4
6,17,2
6,19,2
6,20,4
6,22,4
7,23,2
7,22,4
7,21,2
7,20,2
7,17,4
7,15,2
7,13,2
7,12,2
7,11,2
7,10,4
7,9,2
7,7,2
7,6,4
7,5,4
7,3,4
7,1,4
8,0,2
8,1,2
8,2,2
8,3,4
8,4,4
8,5,4
8,6,2
8,8,4
8,9,2
8,10,2
8,13,4
8,14,2
8,15,2
8,19,4
8,20,4
8,21,2
8,22,4
8,23,2
9,23,4
9,22,2
9,20,2
9,18,4
9,15,4
9,14,4
9,12,2
9,11,4
9,10,2
9,9,2
9,6,2
9,5,4
9,4,2
9,3,2
9,1,4
10,0,4
10,2,2
10,3,4
10,5,4
10,6,2
10,7,2
10,8,4
10,10,2
10,13,2
10,14,4
10,15,4
10,17,2
10,19,2
10,20,4
10,21,4
10,22,4
11,23,4
11,22,2
11,20,4
11,19,2
11,18,2
11,15,4
11,14,2
11,9,2
11,7,4
11,6,2
11,4,4
11,3,2
11,2,2
11,1,2
12,0,4
12,1,2
12,2,4
12,3,2
12,6,2
12,8,4
12,9,4
12,10,2
12,11,2
12,12,2
12,13,2
12,15,4
12,16,2
12,20,2
12,22,2
12,23,2
13,23,2
13,21,2
13,18,4
13,17,2
13,16,4
13,14,4
13,13,4
13,12,2
13,11,2
13,10,2
13,9,4
13,8,2
13,7,4
13,6,4
13,5,4
13,4,4
13,1,2
13,0,2
14,0,4
14,1,2
14,5,2
14,6,4
14,7,4
14,8,2
14,9,4
14,10,2
14,11,2
14,13,4
14,14,4
14,16,2
14,17,4
14,18,4
14,19,2
14,21,2
14,22,2
14,23,2
15,22,2
15,21,2
15,20,2
15,18,4
15,17,2
15,15,2
15,14,4
15,12,4
15,11,2
15,10,2
15,8,2
15,7,2
15,6,2
15,5,4
15,4,2
15,2,4
15,1,4
15,0,4
