Row,Column,Droplet
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,6,2
0,7,2
0,9,2
0,11,2
0,13,2
0,23,2
1,22,2
1,21,2
1,20,2
1,17,2
1,12,2
1,11,2
1,9,2
1,8,2
1,7,2
1,3,2
1,0,2
2,3,2
2,8,2
2,9,2
2,11,2
2,13,2
2,17,2
2,20,2
2,22,2
2,23,2
3,21,2
3,20,2
3,19,2
3,18,2
3,17,2
3,15,2
3,13,2
3,12,2
3,6,2
3,5,2
3,4,2
3,3,2
3,2,2
4,2,2
4,3,2
4,7,2
4,9,2
4,12,2
4,15,2
4,17,2
4,18,2
4,19,2
4,21,2
4,23,2
5,22,2
5,20,2
5,19,2
5,18,2
5,17,2
5,11,2
5,10,2
5,5,2
5,4,2
5,3,2
5,1,2
5,0,2
6,0,2
6,2,2
6,5,2
6,8,2
6,9,2
6,10,2
6,11,2
6,14,2
6,16,2
6,19,2
6,21,2
6,23,2
7,23,2
7,21,2
7,19,2
7,14,2
7,10,2
7,9,2
7,8,2
7,7,2
7,6,2
7,5,2
7,4,2
7,1,2
8,1,2
8,3,2
8,4,2
8,7,2
8,10,2
8,11,2
8,13,2
8,14,2
8,15,2
8,16,2
8,17,2
8,18,2
8,19,2
8,20,2
8,21,2
8,23,2
9,21,2
9,20,2
9,18,2
9,15,2
9,14,2
9,12,2
9,9,2
9,7,2
9,6,2
9,2,2
10,2,2
10,6,2
10,7,2
10,9,2
10,11,2
10,16,2
10,17,2
10,18,2
10,20,2
10,21,2
11,23,2
11,21,2
11,16,2
11,15,2
11,12,2
11,9,2
11,6,2
11,5,2
11,3,2
11,1,2
12,2,2
12,4,2
12,6,2
12,8,2
12,9,2
12,10,2
12,11,2
12,13,2
12,14,2
12,16,2
12,17,2
12,19,2
12,20,2
12,21,2
13,23,2
13,22,2
13,21,2
13,20,2
13,16,2
13,15,2
13,13,2
13,12,2
13,9,2
13,8,2
13,7,2
13,6,2
13,3,2
14,0,2
14,1,2
14,2,2
14,5,2
14,7,2
14,8,2
14,9,2
14,13,2
14,14,2
14,16,2
14,17,2
14,18,2
14,21,2
14,22,2
14,23,2
15,23,2
15,22,2
15,21,2
15,20,2
15,19,2
15,13,2
15,12,2
15,10,2
15,9,2
15,8,2
15,7,2
15,5,2
15,3,2
