Row,Column,Droplet
0,1,2
0,3,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,11,2
0,13,2
0,15,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
0,23,2
1,23,2
1,22,2
1,21,2
1,20,2
1,19,2
1,17,2
1,16,2
1,12,2
1,10,2
1,7,2
1,4,2
1,3,2
1,0,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,13,2
2,22,2
3,21,2
3,17,2
3,16,2
3,13,2
3,11,2
3,8,2
3,7,2
3,6,2
3,4,2
3,1,2
3,0,2
4,0,2
4,2,2
4,4,2
4,7,2
4,8,2
4,9,2
4,13,2
4,16,2
5,23,2
5,19,2
5,18,2
5,15,2
5,11,2
5,10,2
5,9,2
5,7,2
5,6,2
5,1,2
5,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,8,2
6,10,2
6,12,2
6,13,2
6,15,2
6,16,2
6,18,2
6,19,2
6,22,2
6,23,2
7,21,2
7,20,2
7,17,2
7,14,2
7,13,2
7,12,2
7,11,2
7,9,2
7,7,2
7,6,2
7,3,2
7,1,2
7,0,2
8,0,2
8,2,2
8,3,2
8,4,2
8,8,2
8,9,2
8,10,2
8,13,2
8,16,2
8,17,2
8,18,2
8,21,2
8,22,2
8,23,2
9,23,2
9,21,2
9,20,2
9,19,2
9,17,2
9,16,2
9,15,2
9,13,2
9,12,2
9,9,2
9,7,2
9,4,2
9,1,2
10,0,2
10,1,2
10,5,2
10,8,2
10,12,2
10,17,2
10,19,2
10,20,2
10,22,2
10,23,2
11,22,2
11,21,2
11,20,2
11,19,2
11,17,2
11,16,2
11,15,2
11,14,2
11,10,2
11,7,2
11,6,2
11,5,2
11,0,2
12,2,2
12,4,2
12,5,2
12,7,2
12,10,2
12,13,2
12,17,2
12,20,2
12,22,2
13,22,2
13,21,2
13,18,2
13,17,2
13,15,2
13,14,2
13,13,2
13,12,2
13,10,2
13,3,2
13,2,2
13,0,2
14,1,2
14,2,2
14,4,2
14,5,2
14,7,2
14,8,2
14,9,2
14,10,2
14,11,2
14,15,2
14,17,2
14,19,2
14,20,2
14,21,2
15,21,2
15,20,2
15,19,2
15,13,2
15,12,2
15,9,2
15,6,2
15,5,2
15,4,2
15,3,2
15,1,2
15,0,2
