Row,Column,Droplet
0,0,4
0,1,5
0,2,7
0,3,8
0,4,5
0,5,2
0,6,1
0,7,7
0,8,1
0,9,7
0,10,5
0,11,2
0,12,4
0,13,2
0,14,7
0,15,1
0,16,10
0,17,1
0,19,6
0,20,3
0,22,2
0,23,8
1,23,5
1,22,6
1,21,7
1,20,5
1,19,4
1,18,8
1,16,1
1,15,6
1,14,4
1,13,4
1,12,1
1,11,1
1,9,4
1,8,10
1,7,7
1,6,6
1,5,7
1,4,8
1,3,6
1,2,6
1,1,1
1,0,1
2,0,7
2,1,10
2,2,1
2,3,10
2,4,1
2,5,7
2,6,7
2,7,3
2,8,1
2,9,3
2,10,2
2,11,4
2,12,5
2,13,2
2,14,4
2,15,8
2,16,10
2,17,5
2,18,8
2,19,6
2,20,7
2,21,2
2,22,1
2,23,6
3,23,5
3,22,1
3,20,2
3,19,2
3,18,7
3,17,3
3,16,7
3,15,8
3,14,2
3,13,1
3,12,1
3,11,5
3,10,7
3,9,4
3,8,1
3,7,4
3,6,2
3,5,4
3,3,4
3,2,5
3,0,5
4,0,1
4,1,6
4,2,6
4,3,5
4,4,7
4,5,5
4,6,7
4,7,3
4,8,2
4,9,1
4,10,10
4,11,5
4,12,6
4,13,1
4,14,5
4,15,8
4,16,7
4,17,6
4,18,5
4,19,2
4,20,1
4,21,1
4,22,4
4,23,2
5,23,1
5,22,10
5,21,2
5,20,6
5,18,1
5,17,1
5,16,4
5,15,1
5,14,7
5,13,5
5,12,5
5,11,8
5,10,2
5,9,8
5,8,8
5,7,7
5,6,6
5,5,7
5,4,8
5,3,5
5,2,4
5,1,3
5,0,1
6,0,10
6,1,2
6,2,3
6,3,1
6,4,2
6,5,7
6,6,1
6,7,6
6,8,4
6,9,8
6,10,4
6,11,5
6,12,4
6,13,4
6,14,5
6,17,6
6,18,8
6,19,1
6,20,4
6,21,8
6,22,1
6,23,7
7,23,5
7,22,5
7,21,1
7,20,5
7,19,8
7,18,8
7,17,1
7,16,8
7,15,5
7,14,8
7,13,2
7,12,2
7,11,3
7,10,1
7,9,5
7,8,8
7,7,1
7,6,1
7,5,2
7,4,6
7,3,1
7,2,6
7,1,2
7,0,4
8,0,2
8,1,4
8,2,5
8,3,2
8,5,5
8,6,6
8,7,6
8,8,1
8,9,3
8,10,2
8,11,10
8,12,7
8,13,1
8,14,6
8,15,6
8,16,4
8,17,8
8,18,4
8,19,5
8,20,1
8,21,2
8,22,1
8,23,5
9,23,1
9,22,6
9,21,6
9,20,2
9,19,6
9,18,5
9,17,8
9,16,6
9,15,1
9,14,4
9,13,4
9,12,3
9,11,4
9,10,4
9,9,3
9,8,7
9,7,7
9,6,6
9,5,4
9,4,1
9,3,4
9,2,6
9,1,2
9,0,6
10,1,6
10,2,5
10,3,4
10,4,6
10,5,2
10,6,5
10,7,5
10,8,2
10,9,10
10,10,4
10,11,8
10,12,6
10,13,5
10,14,5
10,15,4
10,16,7
10,17,5
10,18,10
10,19,2
10,20,2
10,21,2
10,23,4
11,23,5
11,22,3
11,21,8
11,19,1
11,18,6
11,17,8
11,16,7
11,14,1
11,13,10
11,12,7
11,11,8
11,10,7
11,9,4
11,8,6
11,7,1
11,6,2
11,5,6
11,4,5
11,3,4
11,2,5
11,1,4
11,0,8
12,0,2
12,1,5
12,2,1
12,3,5
12,4,6
12,5,4
12,6,5
12,7,8
12,8,4
12,9,5
12,10,5
12,11,5
12,12,5
12,13,2
12,14,6
12,15,1
12,16,6
12,17,4
12,18,8
12,19,6
12,20,5
12,21,6
12,22,5
12,23,5
13,23,5
13,22,8
13,21,3
13,20,10
13,19,10
13,18,1
13,17,2
13,16,5
13,15,8
13,14,1
13,12,1
13,11,5
13,10,3
13,9,2
13,8,5
13,7,2
13,6,4
13,5,2
13,4,1
13,3,4
13,2,6
13,1,5
13,0,1
14,0,1
14,1,1
14,2,6
14,3,10
14,4,6
14,5,5
14,6,2
14,7,2
14,8,2
14,9,1
14,10,5
14,11,3
14,12,10
14,13,4
14,14,4
14,15,7
14,16,5
14,17,1
14,18,1
14,19,2
14,20,8
14,21,1
14,22,6
14,23,4
15,23,7
15,22,5
15,21,1
15,20,1
15,19,6
15,18,2
15,17,5
15,16,6
15,15,6
15,14,5
15,13,4
15,12,1
15,11,5
15,10,4
15,9,7
15,8,6
15,7,5
15,6,3
15,5,2
15,4,5
15,3,4
15,2,1
15,1,2
15,0,2
