Row,Column,Droplet
6,11,2.0
8,16,2.0
7,6,2.0
1,13,2.0
7,8,2.0
9,22,2.0
3,6,2.0
9,21,2.0
12,19,2.0
14,4,2.0
8,7,2.0
5,19,2.0
10,1,2.0
14,16,2.0
12,2,2.0
13,19,2.0
6,4,2.0
9,7,2.0
3,9,2.0
6,17,2.0
13,20,2.0
12,11,2.0
16,15,2.0
12,14,2.0
13,15,2.0
14,7,2.0
4,12,2.0
8,18,2.0
4,8,2.0
11,17,2.0
8,13,2.0
10,4,2.0
4,16,2.0
3,18,2.0
12,9,2.0
6,5,2.0
11,16,2.0
4,13,2.0
12,23,2.0
3,17,2.0
4,10,2.0
4,4,2.0
10,18,2.0
15,21,2.0
13,18,2.0
9,18,2.0
1,10,2.0
6,1,2.0
11,20,2.0
14,22,2.0
11,4,2.0
15,10,2.0
8,19,2.0
1,11,2.0
9,11,2.0
1,20,2.0
6,2,2.0
3,14,2.0
1,2,2.0
13,23,2.0
15,22,2.0
5,23,2.0
12,3,2.0
10,8,2.0
12,6,2.0
16,6,2.0
9,5,2.0
14,10,2.0
12,24,2.0
1,14,2.0
3,16,2.0
14,18,2.0
14,21,2.0
8,8,2.0
5,6,2.0
12,18,2.0
1,1,2.0
14,3,2.0
16,22,2.0
8,23,2.0
7,7,2.0
15,2,2.0
6,19,2.0
9,15,2.0
16,2,2.0
7,15,2.0
10,22,2.0
13,16,2.0
6,8,2.0
7,23,2.0
7,13,2.0
3,8,2.0
11,2,2.0
5,8,2.0
11,21,2.0
11,14,2.0
13,1,2.0
4,18,2.0
8,20,2.0
7,21,2.0
11,22,2.0
16,4,2.0
10,7,2.0
13,21,2.0
2,16,2.0
12,1,2.0
7,11,2.0
12,22,2.0
2,6,2.0
4,22,2.0
10,9,2.0
14,2,2.0
8,9,2.0
11,13,2.0
15,7,2.0
8,24,2.0
16,7,2.0
14,9,2.0
13,14,2.0
4,19,2.0
9,1,2.0
15,24,2.0
10,3,2.0
14,24,2.0
3,5,2.0
10,16,2.0
12,4,2.0
15,9,2.0
10,13,2.0
5,13,2.0
4,7,2.0
8,15,2.0
8,17,2.0
2,9,2.0
13,3,2.0
2,12,2.0
15,4,2.0
7,1,2.0
16,14,2.0
13,17,2.0
1,4,2.0
10,19,2.0
5,3,2.0
7,9,2.0
5,20,2.0
5,11,2.0
6,6,2.0
12,10,2.0
5,2,2.0
12,20,2.0
4,11,2.0
16,5,2.0
15,20,2.0
4,15,2.0
2,15,2.0
9,16,2.0
16,23,2.0
13,22,2.0
14,1,2.0
13,13,2.0
10,24,2.0
9,13,2.0
3,19,2.0
1,3,2.0
2,4,2.0
6,18,2.0
4,14,2.0
16,11,2.0
1,18,2.0
6,24,2.0
8,22,2.0
6,12,2.0
12,7,2.0
9,10,2.0
6,14,2.0
1,19,2.0
15,8,2.0
9,14,2.0
6,16,2.0
5,7,2.0
1,6,2.0
10,10,2.0
13,24,2.0
1,9,2.0
9,23,2.0
15,5,2.0
8,10,2.0
6,3,2.0
3,21,2.0
15,15,2.0
8,6,2.0
16,17,2.0
