Row,Column,Droplet
2,5,4.0
14,13,4.0
9,24,4.0
3,22,4.0
13,8,4.0
1,23,4.0
7,2,4.0
9,4,4.0
4,20,4.0
5,16,4.0
3,23,4.0
4,24,4.0
15,19,4.0
14,14,4.0
15,12,4.0
11,19,4.0
1,5,4.0
3,2,4.0
15,18,4.0
6,20,4.0
13,9,4.0
11,1,4.0
4,21,4.0
8,5,4.0
7,19,4.0
7,22,4.0
12,13,4.0
16,12,4.0
4,1,4.0
14,11,4.0
16,21,4.0
10,17,4.0
9,8,4.0
2,18,4.0
1,8,4.0
10,2,4.0
8,3,4.0
2,3,4.0
8,12,4.0
7,14,4.0
1,17,4.0
5,24,4.0
9,20,4.0
6,22,4.0
16,1,4.0
14,5,4.0
13,2,4.0
6,13,4.0
6,11,4.0
8,16,4.0
7,6,4.0
1,13,4.0
12,19,4.0
14,4,4.0
8,7,4.0
5,19,4.0
6,4,4.0
9,7,4.0
3,9,4.0
6,17,4.0
11,20,4.0
14,22,4.0
11,4,4.0
15,10,4.0
6,2,4.0
3,14,4.0
1,2,4.0
13,23,4.0
12,6,4.0
16,6,4.0
9,5,4.0
14,10,4.0
13,1,4.0
4,18,4.0
8,20,4.0
7,21,4.0
2,16,4.0
12,1,4.0
7,11,4.0
12,22,4.0
8,9,4.0
11,13,4.0
15,7,4.0
8,24,4.0
5,20,4.0
5,11,4.0
6,6,4.0
12,10,4.0
15,20,4.0
4,15,4.0
2,15,4.0
9,16,4.0
10,24,4.0
9,13,4.0
3,19,4.0
1,3,4.0
