Row,Column,Droplet
5,18,4.0
2,8,4.0
10,5,4.0
12,21,4.0
11,10,4.0
10,14,4.0
3,3,4.0
2,23,4.0
12,17,4.0
1,7,4.0
14,17,4.0
11,9,4.0
6,15,4.0
8,2,4.0
9,3,4.0
1,22,4.0
13,12,4.0
11,24,4.0
1,21,4.0
14,6,4.0
10,23,4.0
3,13,4.0
2,14,4.0
12,16,4.0
3,4,4.0
3,10,4.0
10,12,4.0
4,17,4.0
3,15,4.0
2,24,4.0
2,10,4.0
5,10,4.0
14,15,4.0
7,5,4.0
2,17,4.0
10,15,4.0
4,5,4.0
11,3,4.0
8,14,4.0
16,13,4.0
15,1,4.0
7,12,4.0
3,1,4.0
14,19,4.0
7,16,4.0
1,24,4.0
4,9,4.0
11,18,4.0
10,6,4.0
16,16,4.0
8,4,4.0
7,18,4.0
3,20,4.0
8,11,4.0
3,7,4.0
10,11,4.0
13,7,4.0
9,2,4.0
16,9,4.0
5,1,4.0
5,22,4.0
10,20,4.0
15,6,4.0
13,6,4.0
9,19,4.0
2,11,4.0
13,4,4.0
2,21,4.0
5,21,4.0
3,24,4.0
11,12,4.0
7,20,4.0
6,7,4.0
15,17,4.0
11,11,4.0
12,12,4.0
5,5,4.0
5,17,4.0
15,13,4.0
1,16,4.0
3,12,4.0
5,12,4.0
11,23,4.0
9,9,4.0
7,3,4.0
2,13,4.0
6,10,4.0
8,21,4.0
10,21,4.0
9,6,4.0
11,5,4.0
15,16,4.0
16,19,4.0
15,14,4.0
14,8,4.0
16,3,4.0
13,15,4.0
14,7,4.0
4,12,4.0
8,18,4.0
4,8,4.0
11,17,4.0
8,13,4.0
10,4,4.0
4,16,4.0
3,18,4.0
12,9,4.0
6,5,4.0
11,16,4.0
4,13,4.0
12,23,4.0
3,17,4.0
4,10,4.0
4,4,4.0
10,18,4.0
15,21,4.0
13,18,4.0
9,18,4.0
1,10,4.0
6,1,4.0
14,21,4.0
8,8,4.0
5,6,4.0
12,18,4.0
1,1,4.0
14,3,4.0
16,22,4.0
8,23,4.0
7,7,4.0
15,2,4.0
6,19,4.0
9,15,4.0
16,2,4.0
7,15,4.0
10,22,4.0
13,16,4.0
6,8,4.0
7,23,4.0
7,13,4.0
3,8,4.0
11,2,4.0
5,8,4.0
11,21,4.0
11,14,4.0
9,1,4.0
15,24,4.0
10,3,4.0
14,24,4.0
3,5,4.0
10,16,4.0
12,4,4.0
15,9,4.0
10,13,4.0
5,13,4.0
4,7,4.0
8,15,4.0
8,17,4.0
2,9,4.0
13,3,4.0
2,12,4.0
15,4,4.0
7,1,4.0
16,14,4.0
13,17,4.0
1,4,4.0
10,19,4.0
5,3,4.0
7,9,4.0
1,18,4.0
6,24,4.0
8,22,4.0
6,12,4.0
12,7,4.0
9,10,4.0
6,14,4.0
1,19,4.0
15,8,4.0
9,14,4.0
6,16,4.0
5,7,4.0
1,6,4.0
10,10,4.0
13,24,4.0
1,9,4.0
9,23,4.0
15,5,4.0
8,10,4.0
6,3,4.0
3,21,4.0
15,15,4.0
8,6,4.0
16,17,4.0
