Row,Column,Droplet
14,13,4.0
3,22,4.0
3,11,4.0
4,23,4.0
1,23,4.0
9,4,4.0
11,8,4.0
13,10,4.0
4,20,4.0
3,23,4.0
15,23,4.0
8,1,4.0
2,8,4.0
12,21,4.0
10,14,4.0
2,23,4.0
1,7,4.0
11,9,4.0
6,15,4.0
9,3,4.0
13,12,4.0
1,21,4.0
3,13,4.0
12,16,4.0
14,14,4.0
11,19,4.0
14,12,4.0
2,2,4.0
3,2,4.0
6,20,4.0
5,9,4.0
13,5,4.0
13,9,4.0
4,21,4.0
7,17,4.0
16,20,4.0
3,10,4.0
4,17,4.0
2,24,4.0
5,10,4.0
7,5,4.0
10,15,4.0
4,5,4.0
8,14,4.0
15,1,4.0
3,1,4.0
1,24,4.0
11,18,4.0
7,22,4.0
16,12,4.0
5,4,4.0
7,4,4.0
14,11,4.0
10,17,4.0
2,7,4.0
1,15,4.0
9,8,4.0
1,8,4.0
9,12,4.0
6,9,4.0
16,16,4.0
7,18,4.0
8,11,4.0
10,11,4.0
9,2,4.0
5,1,4.0
5,22,4.0
15,6,4.0
9,19,4.0
13,4,4.0
3,24,4.0
7,20,4.0
2,3,4.0
7,14,4.0
16,8,4.0
16,10,4.0
5,24,4.0
6,22,4.0
13,11,4.0
2,20,4.0
16,1,4.0
13,2,4.0
4,6,4.0
4,2,4.0
15,17,4.0
12,12,4.0
5,17,4.0
1,16,4.0
5,12,4.0
9,9,4.0
7,3,4.0
6,10,4.0
10,21,4.0
11,5,4.0
15,14,4.0
16,3,4.0
8,16,4.0
1,13,4.0
9,22,4.0
9,21,4.0
14,4,4.0
5,19,4.0
10,1,4.0
12,2,4.0
6,4,4.0
3,9,4.0
12,11,4.0
12,14,4.0
14,7,4.0
8,18,4.0
11,17,4.0
10,4,4.0
3,18,4.0
6,5,4.0
11,16,4.0
12,23,4.0
4,10,4.0
10,18,4.0
9,18,4.0
6,1,4.0
14,22,4.0
15,10,4.0
1,11,4.0
1,20,4.0
3,14,4.0
13,23,4.0
15,22,4.0
12,3,4.0
12,6,4.0
9,5,4.0
1,14,4.0
14,18,4.0
8,8,4.0
12,18,4.0
14,3,4.0
8,23,4.0
15,2,4.0
9,15,4.0
16,2,4.0
10,22,4.0
6,8,4.0
7,13,4.0
5,8,4.0
11,14,4.0
4,18,4.0
7,21,4.0
16,4,4.0
13,21,4.0
12,1,4.0
12,22,4.0
2,6,4.0
10,9,4.0
8,9,4.0
15,7,4.0
14,9,4.0
4,19,4.0
15,24,4.0
14,24,4.0
10,16,4.0
15,9,4.0
5,13,4.0
8,15,4.0
8,17,4.0
13,3,4.0
15,4,4.0
16,14,4.0
10,19,4.0
7,9,4.0
5,11,4.0
12,10,4.0
12,20,4.0
16,5,4.0
4,15,4.0
9,16,4.0
16,23,4.0
14,1,4.0
10,24,4.0
3,19,4.0
6,18,4.0
16,11,4.0
6,24,4.0
6,12,4.0
9,10,4.0
1,19,4.0
9,14,4.0
5,7,4.0
1,6,4.0
13,24,4.0
9,23,4.0
8,10,4.0
15,15,4.0
16,17,4.0
