Well,Droplet
L5,4.0
C11,4.0
F23,4.0
D23,4.0
K8,4.0
N23,4.0
M10,4.0
B1,4.0
P18,4.0
O23,4.0
B22,4.0
H1,4.0
N20,4.0
N12,4.0
O11,4.0
B2,4.0
E9,4.0
L15,4.0
M5,4.0
D3,4.0
G24,4.0
G17,4.0
K6,4.0
P20,4.0
L8,4.0
E4,4.0
P24,4.0
G4,4.0
B7,4.0
E15,4.0
A15,4.0
F21,4.0
B19,4.0
I12,4.0
A12,4.0
F9,4.0
E14,4.0
P8,4.0
K15,4.0
P10,4.0
M11,4.0
G10,4.0
B20,4.0
K7,4.0
I17,4.0
D6,4.0
O3,4.0
D2,4.0
G8,4.0
I22,4.0
C6,4.0
I21,4.0
J1,4.0
N16,4.0
L2,4.0
M19,4.0
M20,4.0
L11,4.0
P15,4.0
L14,4.0
H19,4.0
A11,4.0
I11,4.0
A20,4.0
O22,4.0
E23,4.0
L3,4.0
J8,4.0
L24,4.0
A14,4.0
C16,4.0
N18,4.0
K22,4.0
P4,4.0
J7,4.0
M21,4.0
B6,4.0
D22,4.0
J9,4.0
N2,4.0
P7,4.0
N9,4.0
M14,4.0
D19,4.0
E2,4.0
L20,4.0
D11,4.0
P5,4.0
P23,4.0
M22,4.0
N1,4.0
M13,4.0
B4,4.0
F18,4.0
D14,4.0
P11,4.0
