Well,Droplet
B5,4.0
N13,4.0
I24,4.0
C22,4.0
M8,4.0
A23,4.0
G2,4.0
I4,4.0
D20,4.0
E16,4.0
C23,4.0
D24,4.0
O19,4.0
N14,4.0
O12,4.0
K19,4.0
A5,4.0
C2,4.0
O18,4.0
F20,4.0
M9,4.0
K1,4.0
D21,4.0
H5,4.0
G19,4.0
G22,4.0
L13,4.0
P12,4.0
D1,4.0
N11,4.0
P21,4.0
J17,4.0
I8,4.0
B18,4.0
A8,4.0
J2,4.0
H3,4.0
B3,4.0
H12,4.0
G14,4.0
A17,4.0
E24,4.0
I20,4.0
F22,4.0
P1,4.0
N5,4.0
M2,4.0
F13,4.0
F11,4.0
H16,4.0
G6,4.0
A13,4.0
L19,4.0
N4,4.0
H7,4.0
E19,4.0
F4,4.0
I7,4.0
C9,4.0
F17,4.0
K20,4.0
N22,4.0
K4,4.0
O10,4.0
F2,4.0
C14,4.0
A2,4.0
M23,4.0
L6,4.0
P6,4.0
I5,4.0
N10,4.0
M1,4.0
D18,4.0
H20,4.0
G21,4.0
B16,4.0
L1,4.0
G11,4.0
L22,4.0
H9,4.0
K13,4.0
O7,4.0
H24,4.0
E20,4.0
E11,4.0
F6,4.0
L10,4.0
O20,4.0
D15,4.0
B15,4.0
I16,4.0
J24,4.0
I13,4.0
C19,4.0
A3,4.0
