Well,Droplet
B5,0.0
N13,0.0
I24,0.0
C22,0.0
L5,0.0
C11,0.0
F23,0.0
D23,0.0
M8,1.0
A23,1.0
G2,1.0
I4,1.0
K8,1.0
N23,1.0
M10,1.0
B1,1.0
D20,2.0
E16,2.0
C23,2.0
D24,2.0
P18,2.0
O23,2.0
B22,2.0
H1,2.0
E18,0.0
B8,0.0
J5,0.0
L21,0.0
K10,0.0
J14,0.0
C3,0.0
B23,0.0
L17,1.0
A7,1.0
N17,1.0
K9,1.0
F15,1.0
H2,1.0
I3,1.0
A22,1.0
M12,2.0
K24,2.0
A21,2.0
N6,2.0
J23,2.0
C13,2.0
B14,2.0
L16,2.0
O19,0.0
N14,0.0
O12,0.0
K19,0.0
N20,0.0
N12,0.0
O11,0.0
B2,0.0
A5,1.0
C2,1.0
O18,1.0
F20,1.0
E9,1.0
L15,1.0
M5,1.0
D3,1.0
M9,2.0
K1,2.0
D21,2.0
H5,2.0
G24,2.0
G17,2.0
K6,2.0
P20,2.0
C4,0.0
C10,0.0
J12,0.0
D17,0.0
C15,0.0
B24,0.0
B10,0.0
E10,0.0
N15,1.0
G5,1.0
B17,1.0
J15,1.0
D5,1.0
K3,1.0
H14,1.0
P13,1.0
O1,2.0
G12,2.0
C1,2.0
N19,2.0
G16,2.0
A24,2.0
D9,2.0
K18,2.0
G19,0.0
G22,0.0
L13,0.0
P12,0.0
L8,0.0
E4,0.0
P24,0.0
G4,0.0
D1,1.0
N11,1.0
P21,1.0
J17,1.0
B7,1.0
E15,1.0
A15,1.0
F21,1.0
I8,2.0
B18,2.0
A8,2.0
J2,2.0
B19,2.0
I12,2.0
A12,2.0
F9,2.0
J6,0.0
P16,0.0
H4,0.0
G18,0.0
C20,0.0
H11,0.0
C7,0.0
J11,0.0
M7,1.0
I2,1.0
P9,1.0
E1,1.0
E22,1.0
J20,1.0
O6,1.0
M6,1.0
I19,2.0
B11,2.0
M4,2.0
B21,2.0
E21,2.0
C24,2.0
K12,2.0
G20,2.0
H3,0.0
B3,0.0
H12,0.0
G14,0.0
E14,0.0
P8,0.0
K15,0.0
P10,0.0
A17,1.0
E24,1.0
I20,1.0
F22,1.0
M11,1.0
G10,1.0
B20,1.0
K7,1.0
P1,2.0
N5,2.0
M2,2.0
F13,2.0
I17,2.0
D6,2.0
O3,2.0
D2,2.0
F7,0.0
O17,0.0
K11,0.0
L12,0.0
E5,0.0
E17,0.0
O13,0.0
A16,0.0
C12,1.0
E12,1.0
K23,1.0
I9,1.0
G3,1.0
B13,1.0
F10,1.0
H21,1.0
J21,2.0
I6,2.0
K5,2.0
O16,2.0
P19,2.0
O14,2.0
N8,2.0
P3,2.0
F11,0.0
H16,0.0
G6,0.0
A13,0.0
G8,0.0
I22,0.0
C6,0.0
I21,0.0
L19,1.0
N4,1.0
H7,1.0
E19,1.0
J1,1.0
N16,1.0
L2,1.0
M19,1.0
F4,2.0
I7,2.0
C9,2.0
F17,2.0
M20,2.0
L11,2.0
P15,2.0
L14,2.0
M15,0.0
N7,0.0
D12,0.0
H18,0.0
D8,0.0
K17,0.0
H13,0.0
J4,0.0
D16,1.0
C18,1.0
L9,1.0
F5,1.0
K16,1.0
D13,1.0
L23,1.0
C17,1.0
D10,2.0
D4,2.0
J18,2.0
O21,2.0
M18,2.0
I18,2.0
A10,2.0
F1,2.0
K20,0.0
N22,0.0
K4,0.0
O10,0.0
H19,0.0
A11,0.0
I11,0.0
A20,0.0
F2,1.0
C14,1.0
A2,1.0
M23,1.0
O22,1.0
E23,1.0
L3,1.0
J8,1.0
L6,2.0
P6,2.0
I5,2.0
N10,2.0
L24,2.0
A14,2.0
C16,2.0
N18,2.0
N21,0.0
H8,0.0
E6,0.0
L18,0.0
A1,0.0
N3,0.0
P22,0.0
H23,0.0
G7,1.0
O2,1.0
F19,1.0
I15,1.0
P2,1.0
G15,1.0
J22,1.0
M16,1.0
F8,2.0
G23,2.0
G13,2.0
C8,2.0
K2,2.0
E8,2.0
K21,2.0
K14,2.0
M1,0.0
D18,0.0
H20,0.0
G21,0.0
K22,0.0
P4,0.0
J7,0.0
M21,0.0
B16,1.0
L1,1.0
G11,1.0
L22,1.0
B6,1.0
D22,1.0
J9,1.0
N2,1.0
H9,2.0
K13,2.0
O7,2.0
H24,2.0
P7,2.0
N9,2.0
M14,2.0
D19,2.0
I1,0.0
O24,0.0
J3,0.0
N24,0.0
C5,0.0
J16,0.0
L4,0.0
O9,0.0
J13,1.0
E13,1.0
D7,1.0
H15,1.0
H17,1.0
B9,1.0
M3,1.0
B12,1.0
O4,2.0
G1,2.0
P14,2.0
M17,2.0
A4,2.0
J19,2.0
E3,2.0
G9,2.0
E20,0.0
E11,0.0
F6,0.0
L10,0.0
E2,0.0
L20,0.0
D11,0.0
P5,0.0
O20,1.0
D15,1.0
B15,1.0
I16,1.0
P23,1.0
M22,1.0
N1,1.0
M13,1.0
J24,2.0
I13,2.0
C19,2.0
A3,2.0
B4,2.0
F18,2.0
D14,2.0
P11,2.0
A18,0.0
F24,0.0
H22,0.0
F12,0.0
L7,0.0
I10,0.0
F14,0.0
A19,0.0
O8,1.0
I14,1.0
F16,1.0
E7,1.0
A6,1.0
J10,1.0
M24,1.0
A9,1.0
I23,2.0
O5,2.0
H10,2.0
F3,2.0
C21,2.0
O15,2.0
H6,2.0
P17,2.0
