Well,Droplet
B5,0.0
N13,0.0
I24,1.0
C22,2.0
L5,0.0
C11,1.0
F23,2.0
D23,2.0
M8,0.0
A23,1.0
G2,2.0
I4,2.0
K8,0.0
N23,1.0
M10,1.0
B1,2.0
D20,0.0
E16,1.0
C23,1.0
D24,2.0
P18,0.0
O23,0.0
B22,1.0
H1,2.0
E18,0.0
B8,0.0
J5,1.0
L21,2.0
K10,0.0
J14,1.0
C3,2.0
B23,2.0
L17,0.0
A7,1.0
N17,2.0
K9,2.0
F15,0.0
H2,1.0
I3,1.0
A22,2.0
M12,0.0
K24,1.0
A21,1.0
N6,2.0
J23,0.0
C13,0.0
B14,1.0
L16,2.0
O19,0.0
N14,0.0
O12,1.0
K19,2.0
N20,0.0
N12,1.0
O11,2.0
B2,2.0
A5,0.0
C2,1.0
O18,2.0
F20,2.0
E9,0.0
L15,1.0
M5,1.0
D3,2.0
M9,0.0
K1,1.0
D21,1.0
H5,2.0
G24,0.0
G17,0.0
K6,1.0
P20,2.0
C4,0.0
C10,0.0
J12,1.0
D17,2.0
C15,0.0
B24,1.0
B10,2.0
E10,2.0
N15,0.0
G5,1.0
B17,2.0
J15,2.0
D5,0.0
K3,1.0
H14,1.0
P13,2.0
O1,0.0
G12,1.0
C1,1.0
N19,2.0
G16,0.0
A24,0.0
D9,1.0
K18,2.0
G19,0.0
G22,0.0
L13,1.0
P12,2.0
L8,0.0
E4,1.0
P24,2.0
G4,2.0
D1,0.0
N11,1.0
P21,2.0
J17,2.0
B7,0.0
E15,1.0
A15,1.0
F21,2.0
I8,0.0
B18,1.0
A8,1.0
J2,2.0
B19,0.0
I12,0.0
A12,1.0
F9,2.0
J6,0.0
P16,0.0
H4,1.0
G18,2.0
C20,0.0
H11,1.0
C7,2.0
J11,2.0
M7,0.0
I2,1.0
P9,2.0
E1,2.0
E22,0.0
J20,1.0
O6,1.0
M6,2.0
I19,0.0
B11,1.0
M4,1.0
B21,2.0
E21,0.0
C24,0.0
K12,1.0
G20,2.0
H3,0.0
B3,0.0
H12,1.0
G14,2.0
E14,0.0
P8,1.0
K15,2.0
P10,2.0
A17,0.0
E24,1.0
I20,2.0
F22,2.0
M11,0.0
G10,1.0
B20,1.0
K7,2.0
P1,0.0
N5,1.0
M2,1.0
F13,2.0
I17,0.0
D6,0.0
O3,1.0
D2,2.0
F7,0.0
O17,0.0
K11,1.0
L12,2.0
E5,0.0
E17,1.0
O13,2.0
A16,2.0
C12,0.0
E12,1.0
K23,2.0
I9,2.0
G3,0.0
B13,1.0
F10,1.0
H21,2.0
J21,0.0
I6,1.0
K5,1.0
O16,2.0
P19,0.0
O14,0.0
N8,1.0
P3,2.0
F11,0.0
H16,0.0
G6,1.0
A13,2.0
G8,0.0
I22,1.0
C6,2.0
I21,2.0
L19,0.0
N4,1.0
H7,2.0
E19,2.0
J1,0.0
N16,1.0
L2,1.0
M19,2.0
F4,0.0
I7,1.0
C9,1.0
F17,2.0
M20,0.0
L11,0.0
P15,1.0
L14,2.0
M15,0.0
N7,0.0
D12,1.0
H18,2.0
D8,0.0
K17,1.0
H13,2.0
J4,2.0
D16,0.0
C18,1.0
L9,2.0
F5,2.0
K16,0.0
D13,1.0
L23,1.0
C17,2.0
D10,0.0
D4,1.0
J18,1.0
O21,2.0
M18,0.0
I18,0.0
A10,1.0
F1,2.0
K20,0.0
N22,0.0
K4,1.0
O10,2.0
H19,0.0
A11,1.0
I11,2.0
A20,2.0
F2,0.0
C14,1.0
A2,2.0
M23,2.0
O22,0.0
E23,1.0
L3,1.0
J8,2.0
L6,0.0
P6,1.0
I5,1.0
N10,2.0
L24,0.0
A14,0.0
C16,1.0
N18,2.0
N21,0.0
H8,0.0
E6,1.0
L18,2.0
A1,0.0
N3,1.0
P22,2.0
H23,2.0
G7,0.0
O2,1.0
F19,2.0
I15,2.0
P2,0.0
G15,1.0
J22,1.0
M16,2.0
F8,0.0
G23,1.0
G13,1.0
C8,2.0
K2,0.0
E8,0.0
K21,1.0
K14,2.0
M1,0.0
D18,0.0
H20,1.0
G21,2.0
K22,0.0
P4,1.0
J7,2.0
M21,2.0
B16,0.0
L1,1.0
G11,2.0
L22,2.0
B6,0.0
D22,1.0
J9,1.0
N2,2.0
H9,0.0
K13,1.0
O7,1.0
H24,2.0
P7,0.0
N9,0.0
M14,1.0
D19,2.0
I1,0.0
O24,0.0
J3,1.0
N24,2.0
C5,0.0
J16,1.0
L4,2.0
O9,2.0
J13,0.0
E13,1.0
D7,2.0
H15,2.0
H17,0.0
B9,1.0
M3,1.0
B12,2.0
O4,0.0
G1,1.0
P14,1.0
M17,2.0
A4,0.0
J19,0.0
E3,1.0
G9,2.0
E20,0.0
E11,0.0
F6,1.0
L10,2.0
E2,0.0
L20,1.0
D11,2.0
P5,2.0
O20,0.0
D15,1.0
B15,2.0
I16,2.0
P23,0.0
M22,1.0
N1,1.0
M13,2.0
J24,0.0
I13,1.0
C19,1.0
A3,2.0
B4,0.0
F18,0.0
D14,1.0
P11,2.0
A18,0.0
F24,0.0
H22,1.0
F12,2.0
L7,0.0
I10,1.0
F14,2.0
A19,2.0
O8,0.0
I14,1.0
F16,2.0
E7,2.0
A6,0.0
J10,1.0
M24,1.0
A9,2.0
I23,0.0
O5,1.0
H10,1.0
F3,2.0
C21,0.0
O15,0.0
H6,1.0
P17,2.0
