Well,Droplet
B5,0.0
N13,4.0
I24,0.0
C22,4.0
L5,0.0
C11,4.0
F23,0.0
D23,4.0
M8,0.0
A23,4.0
G2,0.0
I4,4.0
K8,4.0
N23,0.0
M10,4.0
B1,0.0
D20,4.0
E16,0.0
C23,4.0
D24,0.0
P18,0.0
O23,4.0
B22,0.0
H1,4.0
E18,0.0
B8,4.0
J5,0.0
L21,4.0
K10,0.0
J14,4.0
C3,0.0
B23,4.0
L17,0.0
A7,4.0
N17,0.0
K9,4.0
F15,4.0
H2,0.0
I3,4.0
A22,0.0
M12,4.0
K24,0.0
A21,4.0
N6,0.0
J23,0.0
C13,4.0
B14,0.0
L16,4.0
O19,0.0
N14,4.0
O12,0.0
K19,4.0
N20,0.0
N12,4.0
O11,0.0
B2,4.0
A5,0.0
C2,4.0
O18,0.0
F20,4.0
E9,4.0
L15,0.0
M5,4.0
D3,0.0
M9,4.0
K1,0.0
D21,4.0
H5,0.0
G24,0.0
G17,4.0
K6,0.0
P20,4.0
C4,0.0
C10,4.0
J12,0.0
D17,4.0
C15,0.0
B24,4.0
B10,0.0
E10,4.0
N15,0.0
G5,4.0
B17,0.0
J15,4.0
D5,4.0
K3,0.0
H14,4.0
P13,0.0
O1,4.0
G12,0.0
C1,4.0
N19,0.0
G16,0.0
A24,4.0
D9,0.0
K18,4.0
G19,0.0
G22,4.0
L13,0.0
P12,4.0
L8,0.0
E4,4.0
P24,0.0
G4,4.0
D1,0.0
N11,4.0
P21,0.0
J17,4.0
B7,4.0
E15,0.0
A15,4.0
F21,0.0
I8,4.0
B18,0.0
A8,4.0
J2,0.0
B19,0.0
I12,4.0
A12,0.0
F9,4.0
J6,0.0
P16,4.0
H4,0.0
G18,4.0
C20,0.0
H11,4.0
C7,0.0
J11,4.0
M7,0.0
I2,4.0
P9,0.0
E1,4.0
E22,4.0
J20,0.0
O6,4.0
M6,0.0
I19,4.0
B11,0.0
M4,4.0
B21,0.0
E21,0.0
C24,4.0
K12,0.0
G20,4.0
H3,0.0
B3,4.0
H12,0.0
G14,4.0
E14,0.0
P8,4.0
K15,0.0
P10,4.0
A17,0.0
E24,4.0
I20,0.0
F22,4.0
M11,4.0
G10,0.0
B20,4.0
K7,0.0
P1,4.0
N5,0.0
M2,4.0
F13,0.0
I17,0.0
D6,4.0
O3,0.0
D2,4.0
F7,0.0
O17,4.0
K11,0.0
L12,4.0
E5,0.0
E17,4.0
O13,0.0
A16,4.0
C12,0.0
E12,4.0
K23,0.0
I9,4.0
G3,4.0
B13,0.0
F10,4.0
H21,0.0
J21,4.0
I6,0.0
K5,4.0
O16,0.0
P19,0.0
O14,4.0
N8,0.0
P3,4.0
F11,0.0
H16,4.0
G6,0.0
A13,4.0
G8,0.0
I22,4.0
C6,0.0
I21,4.0
L19,0.0
N4,4.0
H7,0.0
E19,4.0
J1,4.0
N16,0.0
L2,4.0
M19,0.0
F4,4.0
I7,0.0
C9,4.0
F17,0.0
M20,0.0
L11,4.0
P15,0.0
L14,4.0
M15,0.0
N7,4.0
D12,0.0
H18,4.0
D8,0.0
K17,4.0
H13,0.0
J4,4.0
D16,0.0
C18,4.0
L9,0.0
F5,4.0
K16,4.0
D13,0.0
L23,4.0
C17,0.0
D10,4.0
D4,0.0
J18,4.0
O21,0.0
M18,0.0
I18,4.0
A10,0.0
F1,4.0
K20,0.0
N22,4.0
K4,0.0
O10,4.0
H19,0.0
A11,4.0
I11,0.0
A20,4.0
F2,0.0
C14,4.0
A2,0.0
M23,4.0
O22,4.0
E23,0.0
L3,4.0
J8,0.0
L6,4.0
P6,0.0
I5,4.0
N10,0.0
L24,0.0
A14,4.0
C16,0.0
N18,4.0
N21,0.0
H8,4.0
E6,0.0
L18,4.0
A1,0.0
N3,4.0
P22,0.0
H23,4.0
G7,0.0
O2,4.0
F19,0.0
I15,4.0
P2,4.0
G15,0.0
J22,4.0
M16,0.0
F8,4.0
G23,0.0
G13,4.0
C8,0.0
K2,0.0
E8,4.0
K21,0.0
K14,4.0
M1,0.0
D18,4.0
H20,0.0
G21,4.0
K22,0.0
P4,4.0
J7,0.0
M21,4.0
B16,0.0
L1,4.0
G11,0.0
L22,4.0
B6,4.0
D22,0.0
J9,4.0
N2,0.0
H9,4.0
K13,0.0
O7,4.0
H24,0.0
P7,0.0
N9,4.0
M14,0.0
D19,4.0
I1,0.0
O24,4.0
J3,0.0
N24,4.0
C5,0.0
J16,4.0
L4,0.0
O9,4.0
J13,0.0
E13,4.0
D7,0.0
H15,4.0
H17,4.0
B9,0.0
M3,4.0
B12,0.0
O4,4.0
G1,0.0
P14,4.0
M17,0.0
A4,0.0
J19,4.0
E3,0.0
G9,4.0
E20,0.0
E11,4.0
F6,0.0
L10,4.0
E2,0.0
L20,4.0
D11,0.0
P5,4.0
O20,0.0
D15,4.0
B15,0.0
I16,4.0
P23,4.0
M22,0.0
N1,4.0
M13,0.0
J24,4.0
I13,0.0
C19,4.0
A3,0.0
B4,0.0
F18,4.0
D14,0.0
P11,4.0
A18,0.0
F24,4.0
H22,0.0
F12,4.0
L7,0.0
I10,4.0
F14,0.0
A19,4.0
O8,0.0
I14,4.0
F16,0.0
E7,4.0
A6,4.0
J10,0.0
M24,4.0
A9,0.0
I23,4.0
O5,0.0
H10,4.0
F3,0.0
C21,0.0
O15,4.0
H6,0.0
P17,4.0
