Well,Droplet
E18,4.0
B8,4.0
J5,4.0
L21,4.0
K10,4.0
J14,4.0
C3,4.0
B23,4.0
L17,4.0
A7,4.0
N17,4.0
K9,4.0
F15,4.0
H2,4.0
I3,4.0
A22,4.0
M12,4.0
K24,4.0
A21,4.0
N6,4.0
J23,4.0
C13,4.0
B14,4.0
L16,4.0
C4,4.0
C10,4.0
J12,4.0
D17,4.0
C15,4.0
B24,4.0
B10,4.0
E10,4.0
N15,4.0
G5,4.0
B17,4.0
J15,4.0
D5,4.0
K3,4.0
H14,4.0
P13,4.0
O1,4.0
G12,4.0
C1,4.0
N19,4.0
G16,4.0
A24,4.0
D9,4.0
K18,4.0
J6,4.0
P16,4.0
H4,4.0
G18,4.0
C20,4.0
H11,4.0
C7,4.0
J11,4.0
M7,4.0
I2,4.0
P9,4.0
E1,4.0
E22,4.0
J20,4.0
O6,4.0
M6,4.0
I19,4.0
B11,4.0
M4,4.0
B21,4.0
E21,4.0
C24,4.0
K12,4.0
G20,4.0
F7,4.0
O17,4.0
K11,4.0
L12,4.0
E5,4.0
E17,4.0
O13,4.0
A16,4.0
C12,4.0
E12,4.0
K23,4.0
I9,4.0
G3,4.0
B13,4.0
F10,4.0
H21,4.0
J21,4.0
I6,4.0
K5,4.0
O16,4.0
P19,4.0
O14,4.0
N8,4.0
P3,4.0
M15,4.0
N7,4.0
D12,4.0
H18,4.0
D8,4.0
K17,4.0
H13,4.0
J4,4.0
D16,4.0
C18,4.0
L9,4.0
F5,4.0
K16,4.0
D13,4.0
L23,4.0
C17,4.0
D10,4.0
D4,4.0
J18,4.0
O21,4.0
M18,4.0
I18,4.0
A10,4.0
F1,4.0
N21,4.0
H8,4.0
E6,4.0
L18,4.0
A1,4.0
N3,4.0
P22,4.0
H23,4.0
G7,4.0
O2,4.0
F19,4.0
I15,4.0
P2,4.0
G15,4.0
J22,4.0
M16,4.0
F8,4.0
G23,4.0
G13,4.0
C8,4.0
K2,4.0
E8,4.0
K21,4.0
K14,4.0
I1,4.0
O24,4.0
J3,4.0
N24,4.0
C5,4.0
J16,4.0
L4,4.0
O9,4.0
J13,4.0
E13,4.0
D7,4.0
H15,4.0
H17,4.0
B9,4.0
M3,4.0
B12,4.0
O4,4.0
G1,4.0
P14,4.0
M17,4.0
A4,4.0
J19,4.0
E3,4.0
G9,4.0
A18,4.0
F24,4.0
H22,4.0
F12,4.0
L7,4.0
I10,4.0
F14,4.0
A19,4.0
O8,4.0
I14,4.0
F16,4.0
E7,4.0
A6,4.0
J10,4.0
M24,4.0
A9,4.0
I23,4.0
O5,4.0
H10,4.0
F3,4.0
C21,4.0
O15,4.0
H6,4.0
P17,4.0
