Well,Droplet
B5,10.0
N13,2.0
I24,7.0
C22,2.0
L5,8.0
C11,4.0
F23,8.0
D23,1.0
M8,7.0
A23,2.0
G2,7.0
I4,0.0
K8,4.0
N23,8.0
M10,1.0
B1,5.0
D20,2.0
E16,7.0
C23,0.0
D24,4.0
P18,8.0
O23,1.0
B22,5.0
H1,1.0
E18,10.0
B8,2.0
J5,7.0
L21,2.0
K10,8.0
J14,4.0
C3,8.0
B23,1.0
L17,7.0
A7,2.0
N17,7.0
K9,0.0
F15,4.0
H2,8.0
I3,1.0
A22,5.0
M12,2.0
K24,7.0
A21,0.0
N6,4.0
J23,8.0
C13,1.0
B14,5.0
L16,1.0
O19,10.0
N14,2.0
O12,7.0
K19,2.0
N20,8.0
N12,4.0
O11,8.0
B2,1.0
A5,7.0
C2,2.0
O18,7.0
F20,0.0
E9,4.0
L15,8.0
M5,1.0
D3,5.0
M9,2.0
K1,7.0
D21,0.0
H5,4.0
G24,8.0
G17,1.0
K6,5.0
P20,1.0
C4,10.0
C10,2.0
J12,7.0
D17,2.0
C15,8.0
B24,4.0
B10,8.0
E10,1.0
N15,7.0
G5,2.0
B17,7.0
J15,0.0
D5,4.0
K3,8.0
H14,1.0
P13,5.0
O1,2.0
G12,7.0
C1,0.0
N19,4.0
G16,8.0
A24,1.0
D9,5.0
K18,1.0
G19,10.0
G22,2.0
L13,7.0
P12,2.0
L8,8.0
E4,4.0
P24,8.0
G4,1.0
D1,7.0
N11,2.0
P21,7.0
J17,0.0
B7,4.0
E15,8.0
A15,1.0
F21,5.0
I8,2.0
B18,7.0
A8,0.0
J2,4.0
B19,8.0
I12,1.0
A12,5.0
F9,1.0
J6,10.0
P16,2.0
H4,7.0
G18,2.0
C20,8.0
H11,4.0
C7,8.0
J11,1.0
M7,7.0
I2,2.0
P9,7.0
E1,0.0
E22,4.0
J20,8.0
O6,1.0
M6,5.0
I19,2.0
B11,7.0
M4,0.0
B21,4.0
E21,8.0
C24,1.0
K12,5.0
G20,1.0
H3,10.0
B3,2.0
H12,7.0
G14,2.0
E14,8.0
P8,4.0
K15,8.0
P10,1.0
A17,7.0
E24,2.0
I20,7.0
F22,0.0
M11,4.0
G10,8.0
B20,1.0
K7,5.0
P1,2.0
N5,7.0
M2,0.0
F13,4.0
I17,8.0
D6,1.0
O3,5.0
D2,1.0
F7,10.0
O17,2.0
K11,7.0
L12,2.0
E5,8.0
E17,4.0
O13,8.0
A16,1.0
C12,7.0
E12,2.0
K23,7.0
I9,0.0
G3,4.0
B13,8.0
F10,1.0
H21,5.0
J21,2.0
I6,7.0
K5,0.0
O16,4.0
P19,8.0
O14,1.0
N8,5.0
P3,1.0
F11,10.0
H16,2.0
G6,7.0
A13,2.0
G8,8.0
I22,4.0
C6,8.0
I21,1.0
L19,7.0
N4,2.0
H7,7.0
E19,0.0
J1,4.0
N16,8.0
L2,1.0
M19,5.0
F4,2.0
I7,7.0
C9,0.0
F17,4.0
M20,8.0
L11,1.0
P15,5.0
L14,1.0
M15,10.0
N7,2.0
D12,7.0
H18,2.0
D8,8.0
K17,4.0
H13,8.0
J4,1.0
D16,7.0
C18,2.0
L9,7.0
F5,0.0
K16,4.0
D13,8.0
L23,1.0
C17,5.0
D10,2.0
D4,7.0
J18,0.0
O21,4.0
M18,8.0
I18,1.0
A10,5.0
F1,1.0
K20,10.0
N22,2.0
K4,7.0
O10,2.0
H19,8.0
A11,4.0
I11,8.0
A20,1.0
F2,7.0
C14,2.0
A2,7.0
M23,0.0
O22,4.0
E23,8.0
L3,1.0
J8,5.0
L6,2.0
P6,7.0
I5,0.0
N10,4.0
L24,8.0
A14,1.0
C16,5.0
N18,1.0
N21,10.0
H8,2.0
E6,7.0
L18,2.0
A1,8.0
N3,4.0
P22,8.0
H23,1.0
G7,7.0
O2,2.0
F19,7.0
I15,0.0
P2,4.0
G15,8.0
J22,1.0
M16,5.0
F8,2.0
G23,7.0
G13,0.0
C8,4.0
K2,8.0
E8,1.0
K21,5.0
K14,1.0
M1,10.0
D18,2.0
H20,7.0
G21,2.0
K22,8.0
P4,4.0
J7,8.0
M21,1.0
B16,7.0
L1,2.0
G11,7.0
L22,0.0
B6,4.0
D22,8.0
J9,1.0
N2,5.0
H9,2.0
K13,7.0
O7,0.0
H24,4.0
P7,8.0
N9,1.0
M14,5.0
D19,1.0
I1,10.0
O24,2.0
J3,7.0
N24,2.0
C5,8.0
J16,4.0
L4,8.0
O9,1.0
J13,7.0
E13,2.0
D7,7.0
H15,0.0
H17,4.0
B9,8.0
M3,1.0
B12,5.0
O4,2.0
G1,7.0
P14,0.0
M17,4.0
A4,8.0
J19,1.0
E3,5.0
G9,1.0
E20,10.0
E11,2.0
F6,7.0
L10,2.0
E2,8.0
L20,4.0
D11,8.0
P5,1.0
O20,7.0
D15,2.0
B15,7.0
I16,0.0
P23,4.0
M22,8.0
N1,1.0
M13,5.0
J24,2.0
I13,7.0
C19,0.0
A3,4.0
B4,8.0
F18,1.0
D14,5.0
P11,1.0
A18,10.0
F24,2.0
H22,7.0
F12,2.0
L7,8.0
I10,4.0
F14,8.0
A19,1.0
O8,7.0
I14,2.0
F16,7.0
E7,0.0
A6,4.0
J10,8.0
M24,1.0
A9,5.0
I23,2.0
O5,7.0
H10,0.0
F3,4.0
C21,8.0
O15,1.0
H6,5.0
P17,1.0
