Row,Column,Droplet
0,4,2
0,6,2
0,7,2
0,11,2
0,14,2
0,15,2
0,16,2
0,20,2
0,21,2
0,22,2
0,23,2
1,23,2
1,22,2
1,21,2
1,20,2
1,19,2
1,18,2
1,17,2
1,16,2
1,13,2
1,12,2
1,10,2
1,9,2
1,7,2
1,6,2
1,4,2
1,2,2
1,1,2
1,0,2
2,0,2
2,1,2
2,2,2
2,3,2
2,6,2
2,9,2
2,10,2
2,11,2
2,12,2
2,14,2
2,19,2
2,21,2
2,22,2
2,23,2
3,23,2
3,22,2
3,20,2
3,19,2
3,16,2
3,8,2
3,5,2
3,4,2
3,2,2
3,1,2
3,0,2
4,0,2
4,3,2
4,4,2
4,8,2
4,9,2
4,11,2
4,13,2
4,14,2
4,15,2
4,16,2
4,17,2
4,20,2
4,21,2
4,23,2
5,22,2
5,21,2
5,20,2
5,19,2
5,14,2
5,12,2
5,9,2
5,8,2
5,6,2
6,1,2
6,2,2
6,3,2
6,4,2
6,9,2
6,11,2
6,13,2
6,15,2
6,16,2
6,17,2
6,18,2
6,19,2
6,21,2
6,23,2
7,20,2
7,13,2
7,11,2
7,10,2
7,4,2
7,3,2
7,2,2
7,1,2
7,0,2
8,1,2
8,2,2
8,3,2
8,5,2
8,7,2
8,8,2
8,11,2
8,16,2
8,18,2
8,19,2
8,23,2
9,22,2
9,20,2
9,19,2
9,16,2
9,14,2
9,13,2
9,11,2
9,10,2
9,5,2
9,4,2
9,1,2
10,0,2
10,2,2
10,4,2
10,5,2
10,6,2
10,7,2
10,8,2
10,9,2
10,10,2
10,11,2
10,14,2
10,17,2
10,18,2
10,22,2
10,23,2
11,20,2
11,16,2
11,15,2
11,14,2
11,12,2
11,11,2
11,7,2
11,4,2
12,1,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
12,10,2
12,11,2
13,22,2
13,19,2
13,18,2
13,16,2
13,14,2
13,13,2
13,12,2
13,11,2
13,10,2
13,7,2
13,5,2
13,4,2
14,0,2
14,2,2
14,5,2
14,10,2
14,11,2
14,12,2
14,13,2
14,15,2
14,16,2
14,17,2
14,18,2
14,22,2
15,23,2
15,20,2
15,19,2
15,18,2
15,17,2
15,15,2
15,12,2
15,11,2
15,9,2
15,8,2
15,7,2
15,2,2
15,0,2
