Row,Column,Droplet
0,0,2
0,1,2
0,2,2
0,3,2
0,5,2
0,8,2
0,9,2
0,10,2
0,12,2
0,13,2
0,17,2
0,18,2
0,19,2
1,15,2
1,14,2
1,11,2
1,8,2
1,5,2
1,3,2
2,4,2
2,5,2
2,7,2
2,8,2
2,13,2
2,15,2
2,16,2
2,17,2
2,18,2
2,20,2
3,21,2
3,18,2
3,17,2
3,15,2
3,14,2
3,13,2
3,12,2
3,11,2
3,10,2
3,9,2
3,7,2
3,6,2
3,3,2
4,1,2
4,2,2
4,5,2
4,6,2
4,7,2
4,10,2
4,12,2
4,18,2
4,19,2
4,22,2
5,23,2
5,18,2
5,17,2
5,16,2
5,15,2
5,13,2
5,11,2
5,10,2
5,7,2
5,5,2
5,4,2
5,3,2
5,2,2
5,1,2
5,0,2
6,0,2
6,5,2
6,6,2
6,7,2
6,8,2
6,10,2
6,12,2
6,14,2
6,20,2
6,22,2
7,23,2
7,22,2
7,21,2
7,19,2
7,18,2
7,17,2
7,16,2
7,15,2
7,14,2
7,12,2
7,9,2
7,8,2
7,7,2
7,6,2
7,5,2
8,0,2
8,4,2
8,6,2
8,9,2
8,10,2
8,12,2
8,13,2
8,14,2
8,15,2
8,17,2
8,20,2
8,21,2
8,22,2
9,23,2
9,21,2
9,18,2
9,17,2
9,15,2
9,12,2
9,9,2
9,8,2
9,7,2
9,6,2
9,3,2
9,2,2
9,0,2
10,1,2
10,3,2
10,12,2
10,13,2
10,15,2
10,16,2
10,19,2
10,20,2
10,21,2
11,23,2
11,22,2
11,21,2
11,19,2
11,18,2
11,17,2
11,13,2
11,10,2
11,9,2
11,8,2
11,6,2
11,5,2
11,3,2
11,2,2
11,1,2
11,0,2
12,0,2
12,2,2
12,12,2
12,13,2
12,14,2
12,15,2
12,16,2
12,17,2
12,18,2
12,19,2
12,20,2
12,21,2
12,22,2
12,23,2
13,23,2
13,21,2
13,20,2
13,17,2
13,15,2
13,9,2
13,8,2
13,6,2
13,3,2
13,2,2
13,1,2
13,0,2
14,1,2
14,3,2
14,4,2
14,6,2
14,7,2
14,8,2
14,9,2
14,14,2
14,19,2
14,20,2
14,21,2
14,23,2
15,22,2
15,21,2
15,16,2
15,14,2
15,13,2
15,10,2
15,6,2
15,5,2
15,4,2
15,3,2
15,1,2
