Row,Column,Droplet
1,20,4.0
1,15,4.0
1,14,4.0
1,12,4.0
1,11,4.0
2,1,4.0
2,2,4.0
2,4,4.0
2,6,4.0
2,7,4.0
2,19,4.0
2,20,4.0
2,22,4.0
3,16,4.0
3,11,4.0
3,6,4.0
4,2,4.0
4,3,4.0
4,6,4.0
4,11,4.0
4,14,4.0
4,19,4.0
4,22,4.0
4,23,4.0
5,23,4.0
5,15,4.0
5,14,4.0
5,9,4.0
5,4,4.0
5,2,4.0
6,9,4.0
6,18,4.0
6,21,4.0
6,23,4.0
7,24,4.0
7,17,4.0
7,10,4.0
7,8,4.0
7,4,4.0
8,1,4.0
8,19,4.0
9,22,4.0
9,21,4.0
9,17,4.0
9,12,4.0
9,11,4.0
10,1,4.0
10,7,4.0
10,8,4.0
10,9,4.0
11,22,4.0
11,15,4.0
11,8,4.0
11,7,4.0
11,6,4.0
12,2,4.0
12,3,4.0
12,5,4.0
12,8,4.0
12,11,4.0
12,14,4.0
12,15,4.0
12,20,4.0
12,24,4.0
13,22,4.0
13,21,4.0
13,20,4.0
13,19,4.0
13,14,4.0
13,13,4.0
13,11,4.0
13,10,4.0
13,5,4.0
14,1,4.0
14,2,4.0
14,9,4.0
14,12,4.0
14,16,4.0
14,18,4.0
14,20,4.0
14,23,4.0
15,23,4.0
15,22,4.0
15,11,4.0
15,3,4.0
16,4,4.0
16,5,4.0
16,7,4.0
16,8,4.0
16,10,4.0
16,11,4.0
16,15,4.0
16,18,4.0
16,20,4.0
16,23,4.0
16,24,4.0
