Row,Column,Droplet
0,1,4
0,2,4
0,4,4
0,7,4
0,12,4
0,16,4
0,22,4
1,17,4
1,15,4
1,14,4
1,4,4
1,2,4
2,1,4
2,8,4
2,13,4
2,18,4
2,21,4
2,22,4
3,23,4
3,20,4
3,19,4
3,17,4
3,14,4
3,0,4
4,10,4
4,15,4
4,18,4
4,19,4
4,23,4
5,21,4
5,19,4
5,16,4
5,12,4
5,10,4
5,5,4
5,3,4
5,1,4
6,1,4
6,5,4
6,10,4
6,13,4
6,18,4
6,20,4
6,21,4
7,23,4
7,19,4
7,15,4
7,11,4
7,8,4
7,6,4
7,4,4
7,2,4
8,3,4
8,4,4
8,6,4
8,7,4
8,12,4
8,15,4
8,19,4
8,23,4
9,23,4
9,16,4
9,1,4
10,0,4
10,3,4
10,12,4
10,18,4
10,19,4
11,21,4
11,18,4
11,12,4
11,9,4
11,5,4
11,0,4
12,0,4
12,1,4
12,7,4
12,8,4
12,22,4
13,21,4
13,13,4
13,12,4
13,10,4
13,9,4
13,4,4
13,3,4
14,6,4
14,9,4
14,11,4
14,17,4
14,18,4
14,19,4
15,20,4
15,11,4
15,5,4
15,0,4
