Row,Column,Droplet
0,0,2
0,2,2
0,4,2
0,7,2
0,8,2
0,9,2
0,11,2
0,13,2
0,14,2
0,15,2
0,16,2
0,18,2
0,19,2
0,20,2
0,21,2
0,23,2
1,22,2
1,21,2
1,20,2
1,19,2
1,15,2
1,13,2
1,11,2
1,7,2
1,2,2
1,1,2
1,0,2
2,0,2
2,4,2
2,7,2
2,8,2
2,9,2
2,11,2
2,12,2
2,14,2
2,15,2
2,16,2
2,18,2
2,19,2
2,22,2
2,23,2
3,23,2
3,22,2
3,20,2
3,17,2
3,15,2
3,13,2
3,11,2
3,8,2
3,7,2
3,5,2
3,2,2
3,0,2
4,0,2
4,1,2
4,2,2
4,4,2
4,5,2
4,6,2
4,7,2
4,9,2
4,10,2
4,13,2
4,18,2
5,23,2
5,21,2
5,20,2
5,19,2
5,17,2
5,16,2
5,12,2
5,9,2
5,5,2
5,4,2
5,2,2
5,1,2
6,3,2
6,5,2
6,6,2
6,7,2
6,12,2
6,16,2
6,21,2
7,23,2
7,22,2
7,21,2
7,20,2
7,19,2
7,18,2
7,15,2
7,14,2
7,13,2
7,11,2
7,9,2
7,7,2
7,5,2
7,4,2
7,3,2
8,2,2
8,3,2
8,4,2
8,8,2
8,11,2
8,14,2
8,15,2
8,17,2
8,20,2
8,23,2
9,21,2
9,18,2
9,17,2
9,16,2
9,14,2
9,12,2
9,11,2
9,10,2
9,8,2
9,7,2
9,4,2
9,3,2
9,2,2
9,1,2
10,3,2
10,4,2
10,5,2
10,6,2
10,8,2
10,9,2
10,10,2
10,11,2
10,20,2
10,21,2
11,22,2
11,21,2
11,18,2
11,16,2
11,12,2
11,10,2
11,7,2
11,6,2
11,4,2
11,2,2
11,1,2
12,1,2
12,2,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,9,2
12,12,2
12,13,2
12,15,2
12,16,2
12,18,2
12,20,2
12,22,2
12,23,2
13,21,2
13,19,2
13,18,2
13,14,2
13,13,2
13,12,2
13,9,2
13,8,2
13,7,2
13,6,2
13,5,2
13,1,2
13,0,2
14,2,2
14,5,2
14,6,2
14,7,2
14,8,2
14,11,2
14,13,2
14,14,2
14,15,2
14,16,2
14,19,2
14,20,2
14,22,2
14,23,2
15,15,2
15,14,2
15,13,2
15,12,2
15,9,2
15,4,2
