Row,Column,Droplet
0,0,4
0,3,4
0,5,4
0,6,4
0,8,4
0,9,4
0,15,4
0,17,4
0,18,4
0,20,4
0,21,4
0,23,4
1,23,4
1,22,4
1,20,4
1,16,4
1,13,4
1,12,4
1,11,4
1,10,4
1,9,4
1,8,4
1,7,4
2,0,4
2,2,4
2,3,4
2,4,4
2,6,4
2,7,4
2,9,4
2,11,4
2,12,4
2,14,4
2,16,4
2,17,4
2,19,4
2,20,4
2,23,4
3,16,4
3,15,4
3,12,4
3,11,4
3,9,4
3,8,4
3,7,4
3,6,4
3,4,4
3,3,4
4,0,4
4,2,4
4,4,4
4,5,4
4,6,4
4,7,4
4,9,4
4,11,4
4,12,4
4,16,4
4,17,4
4,20,4
4,21,4
5,23,4
5,18,4
5,15,4
5,14,4
5,13,4
5,11,4
5,9,4
5,7,4
5,6,4
5,4,4
5,2,4
5,0,4
6,0,4
6,2,4
6,4,4
6,6,4
6,8,4
6,11,4
6,12,4
6,14,4
6,15,4
6,17,4
6,19,4
6,22,4
7,22,4
7,21,4
7,20,4
7,17,4
7,16,4
7,14,4
7,13,4
7,12,4
7,10,4
7,9,4
7,7,4
7,5,4
7,3,4
7,1,4
8,0,4
8,1,4
8,2,4
8,5,4
8,8,4
8,9,4
8,13,4
8,14,4
8,17,4
8,18,4
8,22,4
9,22,4
9,21,4
9,20,4
9,19,4
9,18,4
9,17,4
9,15,4
9,14,4
9,13,4
9,12,4
9,11,4
9,10,4
9,9,4
9,5,4
9,4,4
9,3,4
9,2,4
10,1,4
10,2,4
10,4,4
10,8,4
10,9,4
10,10,4
10,11,4
10,13,4
10,15,4
10,16,4
10,17,4
10,20,4
10,22,4
10,23,4
11,22,4
11,20,4
11,17,4
11,16,4
11,15,4
11,11,4
11,8,4
11,6,4
11,3,4
12,2,4
12,3,4
12,5,4
12,6,4
12,11,4
12,14,4
12,15,4
12,16,4
12,17,4
12,23,4
13,23,4
13,20,4
13,18,4
13,16,4
13,14,4
13,7,4
13,6,4
13,5,4
13,2,4
14,0,4
14,1,4
14,3,4
14,4,4
14,5,4
14,7,4
14,8,4
14,12,4
14,13,4
14,14,4
14,15,4
14,16,4
14,20,4
14,23,4
15,21,4
15,18,4
15,16,4
15,15,4
15,13,4
15,12,4
15,8,4
15,2,4
15,1,4
