Row,Column,Droplet
0,0,2
0,1,2
0,3,2
0,4,2
0,5,1
0,8,2
0,10,1
0,11,2
0,13,1
0,14,2
0,15,1
0,17,1
0,18,2
0,19,2
0,20,1
0,22,1
0,23,1
1,23,1
1,21,2
1,18,2
1,17,1
1,16,2
1,15,1
1,14,1
1,13,1
1,11,1
1,9,1
1,7,1
1,5,1
1,2,2
1,1,2
1,0,1
2,0,1
2,1,2
2,2,2
2,3,2
2,4,1
2,5,1
2,6,2
2,8,1
2,9,2
2,10,1
2,11,2
2,12,1
2,15,2
2,17,1
2,18,2
2,19,2
2,20,1
2,21,1
2,22,2
2,23,2
3,21,2
3,20,1
3,19,2
3,17,2
3,16,1
3,13,2
3,11,1
3,10,2
3,9,2
3,8,2
3,7,1
3,6,2
3,4,1
3,2,2
3,1,1
4,0,2
4,2,1
4,3,2
4,4,2
4,5,1
4,6,1
4,8,2
4,9,1
4,11,1
4,13,2
4,14,2
4,16,1
4,20,2
4,22,1
4,23,1
5,23,2
5,22,1
5,21,2
5,20,2
5,19,2
5,17,2
5,15,2
5,11,1
5,10,1
5,7,1
5,4,2
5,1,1
5,0,1
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,6,1
6,8,1
6,10,1
6,11,2
6,12,1
6,13,1
6,14,2
6,15,1
6,16,2
6,17,2
6,18,1
6,19,2
6,20,2
6,21,2
6,22,2
6,23,1
7,23,2
7,22,2
7,18,1
7,17,1
7,15,1
7,14,1
7,12,2
7,11,1
7,10,2
7,9,1
7,8,1
7,5,1
7,4,2
7,3,2
7,0,2
8,0,1
8,1,1
8,4,1
8,6,2
8,7,2
8,8,2
8,11,2
8,13,1
8,14,2
8,15,2
8,16,2
8,18,1
8,20,2
8,21,1
8,22,2
8,23,2
9,21,1
9,20,2
9,19,1
9,16,2
9,13,1
9,12,1
9,10,1
9,9,1
9,5,1
9,4,1
9,3,1
9,2,1
9,1,1
9,0,1
10,0,1
10,4,2
10,5,2
10,7,1
10,8,2
10,10,1
10,11,2
10,12,2
10,13,1
10,14,2
10,15,1
10,16,1
10,17,1
10,22,2
11,23,2
11,22,2
11,19,1
11,18,1
11,17,1
11,16,1
11,15,2
11,13,2
11,11,1
11,9,2
11,8,2
11,7,1
11,6,1
11,4,2
11,3,2
11,2,2
11,1,2
11,0,2
12,2,2
12,4,1
12,5,2
12,9,1
12,10,1
12,11,1
12,13,1
12,14,2
12,15,1
12,17,2
12,18,2
12,19,2
12,20,2
12,22,2
12,23,1
13,23,1
13,21,2
13,19,1
13,18,1
13,17,1
13,16,1
13,14,1
13,13,1
13,12,1
13,11,2
13,8,1
13,7,2
13,5,2
13,4,2
13,3,2
13,2,2
13,1,2
13,0,1
14,0,1
14,1,1
14,2,2
14,3,1
14,4,2
14,7,1
14,8,2
14,9,2
14,10,2
14,11,1
14,13,2
14,14,2
14,15,2
14,16,2
14,20,2
14,21,1
14,22,1
14,23,1
15,22,2
15,18,1
15,16,2
15,15,1
15,14,1
15,13,2
15,12,1
15,10,1
15,5,2
15,4,1
15,2,1
15,0,1
