Row,Column,Droplet
0,0,2
0,2,2
0,4,2
0,5,2
0,6,2
0,7,2
0,9,2
0,13,2
0,14,2
0,15,2
0,19,2
0,20,2
0,21,2
0,22,2
1,20,2
1,18,2
1,17,2
1,16,2
1,12,2
1,10,2
1,9,2
1,8,2
1,7,2
1,6,2
1,4,2
1,3,2
1,1,2
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,10,2
2,11,2
2,12,2
2,14,2
2,21,2
2,23,2
3,21,2
3,19,2
3,16,2
3,13,2
3,12,2
3,10,2
3,8,2
3,4,2
3,2,2
3,1,2
3,0,2
4,0,2
4,3,2
4,5,2
4,7,2
4,11,2
4,12,2
4,14,2
4,15,2
4,16,2
4,17,2
4,18,2
4,19,2
4,21,2
5,23,2
5,22,2
5,21,2
5,19,2
5,18,2
5,17,2
5,15,2
5,14,2
5,13,2
5,11,2
5,9,2
5,8,2
5,7,2
5,6,2
5,5,2
5,4,2
5,3,2
5,2,2
5,0,2
6,0,2
6,1,2
6,4,2
6,7,2
6,12,2
6,13,2
6,14,2
6,15,2
6,16,2
6,19,2
6,20,2
6,21,2
7,23,2
7,14,2
7,12,2
7,11,2
7,10,2
7,8,2
7,6,2
7,4,2
7,3,2
7,0,2
8,1,2
8,4,2
8,6,2
8,8,2
8,9,2
8,10,2
8,13,2
8,14,2
8,15,2
8,17,2
8,18,2
8,19,2
8,21,2
8,23,2
9,23,2
9,19,2
9,18,2
9,17,2
9,12,2
9,10,2
9,9,2
9,8,2
9,5,2
9,4,2
9,3,2
9,2,2
9,1,2
10,0,2
10,4,2
10,5,2
10,9,2
10,10,2
10,16,2
10,17,2
10,18,2
10,20,2
10,22,2
11,21,2
11,18,2
11,16,2
11,14,2
11,13,2
11,12,2
11,11,2
11,10,2
11,8,2
11,6,2
11,4,2
12,1,2
12,3,2
12,5,2
12,6,2
12,9,2
12,12,2
12,14,2
12,15,2
12,18,2
12,21,2
12,22,2
12,23,2
13,22,2
13,21,2
13,18,2
13,15,2
13,12,2
13,7,2
13,5,2
13,1,2
13,0,2
14,1,2
14,2,2
14,3,2
14,6,2
14,7,2
14,8,2
14,11,2
14,14,2
14,17,2
14,19,2
14,20,2
14,21,2
15,20,2
15,17,2
15,16,2
15,11,2
15,9,2
15,7,2
15,5,2
15,1,2
