Row,Column,Droplet
0,2,4
0,7,4
0,10,4
0,23,4
1,22,4
1,21,4
1,17,4
1,8,4
1,1,4
2,0,4
2,3,4
2,8,4
2,10,4
2,11,4
2,16,4
3,22,4
3,18,4
3,17,4
3,14,4
3,8,4
3,7,4
3,6,4
3,5,4
4,3,4
4,5,4
4,10,4
4,13,4
4,14,4
4,15,4
4,20,4
4,22,4
4,23,4
5,23,4
5,15,4
5,14,4
5,13,4
5,11,4
5,10,4
5,9,4
5,8,4
5,4,4
6,0,4
6,2,4
6,5,4
6,6,4
6,7,4
6,9,4
6,13,4
6,16,4
6,17,4
6,21,4
6,23,4
7,17,4
7,16,4
7,3,4
8,10,4
8,19,4
8,20,4
9,13,4
9,12,4
9,9,4
10,4,4
10,13,4
10,17,4
11,23,4
11,22,4
11,19,4
11,16,4
11,11,4
11,6,4
11,5,4
11,4,4
11,3,4
12,10,4
12,15,4
12,16,4
12,18,4
13,22,4
13,15,4
13,10,4
13,8,4
13,2,4
14,8,4
14,16,4
14,20,4
14,21,4
15,21,4
15,13,4
15,9,4
15,8,4
15,7,4
15,4,4
15,3,4
15,2,4
15,1,4
15,0,4
