Row,Column,Droplet
0,1,2
0,3,2
0,5,2
0,6,2
0,11,2
0,12,2
0,17,2
0,18,2
0,19,2
0,21,2
0,23,2
1,23,2
1,22,2
1,21,2
1,20,2
1,13,2
1,12,2
1,11,2
1,8,2
1,7,2
1,4,2
1,3,2
1,1,2
1,0,2
2,0,2
2,1,2
2,4,2
2,7,2
2,8,2
2,12,2
2,13,2
2,15,2
2,17,2
2,23,2
3,23,2
3,22,2
3,20,2
3,18,2
3,17,2
3,16,2
3,13,2
3,11,2
3,10,2
3,8,2
3,7,2
3,6,2
3,5,2
3,2,2
3,1,2
3,0,2
4,0,2
4,8,2
4,11,2
4,14,2
4,15,2
4,16,2
4,19,2
4,21,2
4,22,2
4,23,2
5,22,2
5,19,2
5,18,2
5,17,2
5,16,2
5,13,2
5,11,2
5,8,2
5,7,2
5,5,2
5,3,2
5,2,2
5,1,2
6,1,2
6,2,2
6,5,2
6,7,2
6,9,2
6,10,2
6,11,2
6,12,2
6,13,2
6,15,2
6,16,2
6,18,2
6,20,2
6,21,2
7,23,2
7,22,2
7,21,2
7,20,2
7,19,2
7,16,2
7,15,2
7,13,2
7,12,2
7,11,2
7,10,2
7,9,2
7,4,2
7,3,2
7,1,2
8,2,2
8,5,2
8,6,2
8,10,2
8,13,2
8,14,2
8,22,2
9,20,2
9,16,2
9,15,2
9,13,2
9,12,2
9,11,2
9,10,2
9,8,2
9,7,2
9,4,2
9,1,2
9,0,2
10,0,2
10,1,2
10,5,2
10,9,2
10,10,2
10,14,2
10,15,2
10,18,2
10,19,2
10,22,2
10,23,2
11,22,2
11,20,2
11,17,2
11,16,2
11,14,2
11,12,2
11,9,2
11,7,2
11,3,2
11,0,2
12,1,2
12,2,2
12,3,2
12,4,2
12,6,2
12,7,2
12,9,2
12,11,2
12,18,2
12,19,2
12,20,2
12,21,2
12,22,2
12,23,2
13,22,2
13,21,2
13,19,2
13,17,2
13,13,2
13,12,2
13,11,2
13,9,2
13,8,2
13,6,2
13,4,2
13,1,2
14,2,2
14,3,2
14,9,2
14,10,2
14,12,2
14,15,2
14,17,2
14,18,2
14,19,2
14,21,2
14,22,2
14,23,2
15,23,2
15,19,2
15,18,2
15,17,2
15,15,2
15,14,2
15,13,2
15,10,2
15,7,2
15,6,2
15,3,2
15,1,2
