Row,Column,Droplet
0,1,2
0,4,2
0,5,2
0,7,2
0,10,2
0,11,2
0,16,2
1,19,2
1,18,2
1,14,2
1,13,2
1,8,2
1,3,2
2,5,2
2,11,2
2,14,2
2,20,2
3,20,2
3,16,2
3,13,2
3,12,2
3,5,2
4,5,2
4,8,2
4,10,2
4,16,2
4,17,2
4,18,2
4,19,2
4,21,2
5,19,2
5,17,2
5,7,2
5,6,2
5,2,2
6,5,2
6,6,2
6,16,2
6,17,2
6,23,2
7,20,2
7,16,2
7,12,2
7,10,2
7,8,2
7,3,2
7,2,2
7,0,2
8,1,2
8,5,2
8,18,2
9,13,2
9,0,2
10,6,2
10,11,2
10,12,2
10,16,2
10,18,2
11,21,2
11,20,2
11,17,2
11,14,2
11,13,2
11,8,2
11,7,2
11,2,2
12,1,2
12,14,2
12,17,2
12,21,2
13,13,2
13,8,2
13,7,2
13,4,2
13,3,2
14,4,2
14,7,2
14,13,2
14,16,2
14,17,2
14,23,2
15,21,2
15,18,2
15,4,2
15,2,2
