Row,Column,Droplet
0,0,4
0,1,4
0,4,4
0,7,4
0,9,4
0,10,4
0,11,4
0,13,4
0,14,4
0,16,4
0,17,4
0,18,4
0,19,4
0,20,4
0,21,4
0,23,4
1,23,4
1,20,4
1,19,4
1,18,4
1,17,4
1,13,4
1,12,4
1,11,4
1,10,4
1,8,4
1,6,4
1,5,4
1,4,4
1,3,4
1,2,4
2,0,4
2,1,4
2,2,4
2,3,4
2,5,4
2,6,4
2,8,4
2,10,4
2,11,4
2,13,4
2,14,4
2,16,4
2,17,4
2,20,4
2,21,4
2,22,4
3,23,4
3,22,4
3,21,4
3,20,4
3,18,4
3,15,4
3,14,4
3,13,4
3,8,4
3,7,4
3,6,4
3,5,4
3,4,4
3,1,4
4,1,4
4,2,4
4,3,4
4,6,4
4,9,4
4,11,4
4,12,4
4,14,4
4,15,4
4,16,4
4,20,4
4,21,4
4,22,4
5,22,4
5,21,4
5,14,4
5,9,4
5,8,4
5,7,4
5,5,4
5,4,4
5,1,4
5,0,4
6,0,4
6,2,4
6,5,4
6,6,4
6,9,4
6,11,4
6,13,4
6,16,4
6,18,4
7,19,4
7,14,4
7,13,4
7,12,4
7,11,4
7,6,4
7,5,4
7,4,4
7,3,4
7,2,4
7,1,4
8,0,4
8,1,4
8,2,4
8,5,4
8,6,4
8,11,4
8,12,4
8,14,4
8,19,4
8,21,4
8,22,4
9,23,4
9,21,4
9,20,4
9,18,4
9,14,4
9,11,4
9,10,4
9,9,4
9,6,4
9,4,4
9,2,4
9,1,4
10,0,4
10,1,4
10,4,4
10,5,4
10,6,4
10,7,4
10,10,4
10,11,4
10,12,4
10,13,4
10,15,4
10,16,4
10,17,4
10,18,4
10,22,4
11,21,4
11,20,4
11,19,4
11,18,4
11,16,4
11,15,4
11,13,4
11,12,4
11,9,4
11,8,4
11,7,4
11,5,4
11,3,4
11,2,4
11,1,4
12,0,4
12,4,4
12,8,4
12,10,4
12,11,4
12,12,4
12,13,4
12,18,4
12,23,4
13,23,4
13,19,4
13,18,4
13,16,4
13,14,4
13,12,4
13,11,4
13,10,4
13,9,4
13,7,4
13,6,4
13,4,4
14,2,4
14,3,4
14,4,4
14,5,4
14,10,4
14,12,4
14,13,4
14,14,4
14,17,4
14,18,4
14,20,4
14,21,4
14,23,4
15,23,4
15,21,4
15,20,4
15,15,4
15,14,4
15,13,4
15,12,4
15,10,4
15,9,4
15,8,4
15,7,4
15,6,4
15,5,4
15,3,4
15,2,4
