Row,Column,Droplet
0,0,2
0,6,2
0,9,2
0,12,2
0,23,2
1,21,2
1,17,2
1,9,2
1,6,2
1,0,2
2,0,2
2,3,2
2,4,2
2,9,2
2,10,2
2,12,2
2,17,2
2,23,2
3,23,2
3,17,2
3,10,2
3,7,2
3,4,2
4,0,2
4,3,2
4,4,2
4,12,2
4,13,2
4,14,2
5,20,2
5,16,2
5,15,2
5,14,2
5,13,2
5,11,2
5,10,2
5,5,2
5,1,2
5,0,2
6,0,2
6,2,2
6,11,2
6,13,2
6,19,2
6,21,2
7,15,2
7,14,2
7,13,2
7,6,2
7,4,2
8,3,2
8,4,2
8,7,2
8,10,2
8,11,2
8,17,2
8,20,2
9,23,2
9,18,2
9,17,2
9,14,2
9,10,2
9,4,2
9,3,2
10,8,2
10,10,2
10,19,2
10,21,2
10,23,2
11,22,2
11,18,2
11,12,2
11,9,2
11,5,2
11,4,2
12,2,2
12,6,2
12,8,2
12,9,2
12,10,2
12,11,2
12,13,2
12,20,2
12,22,2
12,23,2
13,21,2
13,20,2
13,15,2
13,12,2
13,11,2
13,10,2
13,0,2
14,2,2
14,5,2
14,8,2
14,9,2
14,11,2
14,19,2
15,23,2
15,22,2
15,20,2
15,17,2
15,15,2
15,13,2
15,6,2
15,3,2
15,0,2
