Row,Column,Droplet
0,1,2
0,2,2
0,8,2
0,9,2
0,17,2
0,18,2
0,19,2
0,20,2
1,23,2
1,19,2
1,15,2
1,14,2
1,8,2
1,6,2
2,0,2
2,16,2
3,23,2
3,21,2
3,15,2
3,7,2
4,8,2
4,10,2
4,19,2
5,14,2
5,11,2
5,10,2
5,9,2
5,6,2
6,2,2
6,4,2
6,7,2
6,19,2
6,20,2
7,23,2
7,14,2
7,13,2
7,6,2
7,5,2
7,4,2
7,3,2
7,1,2
8,1,2
8,6,2
8,9,2
8,15,2
8,19,2
9,20,2
9,17,2
9,8,2
9,6,2
9,3,2
9,2,2
9,1,2
10,1,2
10,4,2
10,8,2
10,9,2
10,13,2
10,14,2
10,17,2
10,18,2
11,21,2
11,20,2
11,19,2
11,16,2
11,14,2
11,11,2
11,9,2
11,8,2
11,5,2
11,4,2
12,6,2
12,8,2
12,23,2
13,21,2
13,18,2
13,11,2
13,8,2
13,7,2
13,0,2
14,0,2
14,4,2
14,8,2
14,18,2
14,20,2
15,12,2
15,6,2
15,5,2
