Row,Column,Droplet
0,1,4
0,2,4
0,3,4
0,4,4
0,7,4
0,8,4
0,9,4
0,10,4
0,13,4
0,14,4
0,15,4
0,18,4
0,19,4
1,22,4
1,20,4
1,19,4
1,18,4
1,16,4
1,14,4
1,8,4
1,6,4
1,5,4
1,4,4
1,2,4
1,1,4
1,0,4
2,1,4
2,3,4
2,4,4
2,5,4
2,7,4
2,8,4
2,11,4
2,14,4
2,17,4
2,20,4
2,22,4
3,23,4
3,19,4
3,17,4
3,13,4
3,7,4
3,6,4
3,5,4
3,3,4
4,0,4
4,2,4
4,4,4
4,5,4
4,6,4
4,7,4
4,9,4
4,11,4
4,13,4
4,15,4
4,17,4
4,19,4
4,20,4
4,21,4
5,23,4
5,22,4
5,17,4
5,14,4
5,13,4
5,10,4
5,8,4
5,7,4
5,6,4
5,5,4
5,4,4
5,3,4
5,2,4
5,0,4
6,0,4
6,1,4
6,3,4
6,5,4
6,6,4
6,8,4
6,9,4
6,10,4
6,12,4
6,13,4
6,17,4
6,18,4
6,19,4
7,20,4
7,19,4
7,18,4
7,17,4
7,14,4
7,11,4
7,9,4
7,6,4
7,5,4
7,2,4
7,0,4
8,3,4
8,4,4
8,15,4
8,17,4
8,19,4
8,20,4
8,21,4
8,23,4
9,21,4
9,19,4
9,17,4
9,16,4
9,14,4
9,13,4
9,11,4
9,8,4
9,7,4
9,6,4
9,5,4
9,3,4
9,2,4
10,0,4
10,2,4
10,4,4
10,5,4
10,6,4
10,10,4
10,11,4
10,12,4
10,15,4
10,16,4
10,18,4
10,20,4
10,22,4
10,23,4
11,22,4
11,19,4
11,18,4
11,16,4
11,14,4
11,13,4
11,12,4
11,11,4
11,6,4
11,4,4
11,3,4
11,1,4
12,0,4
12,1,4
12,2,4
12,5,4
12,7,4
12,12,4
12,14,4
12,16,4
12,21,4
13,22,4
13,21,4
13,19,4
13,17,4
13,16,4
13,13,4
13,11,4
13,8,4
13,7,4
13,6,4
13,4,4
13,2,4
13,1,4
14,0,4
14,2,4
14,4,4
14,5,4
14,6,4
14,7,4
14,8,4
14,9,4
14,10,4
14,11,4
14,12,4
14,14,4
14,15,4
14,17,4
14,19,4
14,20,4
14,23,4
15,23,4
15,20,4
15,19,4
15,17,4
15,15,4
15,14,4
15,13,4
15,12,4
15,9,4
15,8,4
15,4,4
15,2,4
15,0,4
