Row,Column,Droplet
0,1,4
0,5,4
0,6,4
0,7,4
0,19,4
1,18,4
1,15,4
1,14,4
1,11,4
1,10,4
1,9,4
1,5,4
1,1,4
2,1,4
2,2,4
2,3,4
2,4,4
2,11,4
2,16,4
2,17,4
2,21,4
2,23,4
3,20,4
3,13,4
4,9,4
4,16,4
4,17,4
4,18,4
4,19,4
4,23,4
5,23,4
5,7,4
5,3,4
6,0,4
6,4,4
6,5,4
6,11,4
6,13,4
6,14,4
6,17,4
6,19,4
7,22,4
7,20,4
7,17,4
7,15,4
7,9,4
7,1,4
7,0,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,4
8,10,4
8,11,4
8,15,4
9,19,4
9,18,4
9,15,4
9,13,4
9,3,4
10,7,4
10,8,4
10,13,4
10,17,4
10,21,4
11,22,4
11,21,4
11,20,4
11,18,4
11,10,4
11,6,4
12,2,4
12,5,4
12,6,4
12,11,4
12,12,4
12,13,4
12,17,4
12,20,4
13,21,4
13,18,4
13,16,4
13,11,4
13,9,4
13,5,4
13,2,4
14,0,4
14,3,4
14,5,4
14,10,4
14,15,4
14,18,4
14,22,4
14,23,4
15,23,4
15,22,4
15,19,4
15,16,4
15,14,4
15,6,4
15,5,4
