Row,Column,Droplet
0,4,2
0,8,2
0,9,2
0,11,2
0,19,2
1,14,2
1,11,2
1,10,2
1,2,2
2,2,2
2,19,2
2,20,2
3,22,2
3,11,2
3,8,2
3,5,2
3,4,2
3,3,2
4,0,2
4,5,2
4,15,2
4,17,2
4,23,2
5,17,2
5,12,2
5,11,2
5,8,2
5,5,2
5,1,2
5,0,2
6,2,2
6,3,2
6,7,2
6,21,2
6,22,2
7,23,2
7,22,2
7,19,2
7,13,2
7,10,2
7,4,2
7,3,2
7,1,2
8,1,2
8,2,2
8,5,2
8,13,2
8,14,2
8,16,2
8,19,2
9,16,2
10,0,2
10,1,2
10,9,2
10,10,2
10,11,2
10,21,2
11,15,2
11,13,2
11,12,2
11,11,2
11,10,2
11,7,2
11,1,2
12,0,2
12,1,2
12,3,2
12,5,2
12,8,2
12,16,2
12,17,2
12,18,2
12,19,2
12,21,2
13,12,2
13,8,2
13,4,2
13,0,2
14,7,2
14,9,2
14,11,2
14,12,2
14,17,2
14,20,2
14,21,2
14,22,2
15,22,2
15,18,2
15,10,2
15,7,2
15,5,2
15,0,2
