Row,Column,Droplet
0,0,2
0,1,1
0,2,2
0,4,2
0,6,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,1
0,14,2
0,16,2
0,17,2
0,18,2
0,20,2
1,21,2
1,20,1
1,17,1
1,15,1
1,13,1
1,12,1
1,11,2
1,10,2
1,8,2
1,5,2
1,4,1
1,2,2
1,1,1
2,0,1
2,4,2
2,5,2
2,6,2
2,7,1
2,8,1
2,9,1
2,11,2
2,12,2
2,13,2
2,14,1
2,16,2
2,17,1
2,18,2
2,20,2
2,22,1
2,23,1
3,23,1
3,22,1
3,21,1
3,19,2
3,18,1
3,16,1
3,15,1
3,13,1
3,10,1
3,9,1
3,8,1
3,6,1
3,5,2
3,2,2
3,1,2
3,0,1
4,0,2
4,1,2
4,2,1
4,3,2
4,4,1
4,5,2
4,6,1
4,8,2
4,9,1
4,12,2
4,13,2
4,15,2
4,16,2
4,17,1
4,18,1
4,20,1
4,21,1
4,22,1
4,23,1
5,22,2
5,21,2
5,19,1
5,18,2
5,16,2
5,15,1
5,13,1
5,11,1
5,10,2
5,8,2
5,6,1
5,3,2
5,2,2
5,1,2
5,0,2
6,1,1
6,3,1
6,4,2
6,6,2
6,7,2
6,8,1
6,9,1
6,10,2
6,12,2
6,14,1
6,15,1
6,16,1
6,17,1
6,19,2
6,20,2
6,21,1
6,22,2
6,23,1
7,23,1
7,22,1
7,21,1
7,20,2
7,17,1
7,15,1
7,14,2
7,12,1
7,9,2
7,8,1
7,5,1
7,4,2
7,3,2
7,2,1
7,1,2
7,0,1
8,0,1
8,1,2
8,2,1
8,6,2
8,8,1
8,10,2
8,11,1
8,15,2
8,16,2
8,17,1
8,18,2
8,21,2
8,22,2
8,23,1
9,23,2
9,22,2
9,21,1
9,19,2
9,18,2
9,17,1
9,16,2
9,14,1
9,13,1
9,12,1
9,11,1
9,10,2
9,9,1
9,7,1
9,5,1
9,4,1
9,3,2
9,2,1
9,0,2
10,1,1
10,2,2
10,3,1
10,4,1
10,6,1
10,7,1
10,9,1
10,10,2
10,11,2
10,12,2
10,13,2
10,14,1
10,15,1
10,16,1
10,17,1
10,19,1
10,22,1
10,23,1
11,23,2
11,21,1
11,20,2
11,19,1
11,18,2
11,16,2
11,14,2
11,13,2
11,11,2
11,10,1
11,9,1
11,6,1
11,5,2
11,4,2
11,2,1
11,1,2
11,0,1
12,0,1
12,1,2
12,3,1
12,4,1
12,5,2
12,6,2
12,8,1
12,9,1
12,10,1
12,11,1
12,12,1
12,15,1
12,16,1
12,17,2
12,18,1
12,20,1
12,23,1
13,22,2
13,19,2
13,17,1
13,16,2
13,15,2
13,14,1
13,10,1
13,8,2
13,7,2
13,6,2
13,1,2
14,0,1
14,1,2
14,2,1
14,3,1
14,6,1
14,8,1
14,9,1
14,13,2
14,17,1
14,19,2
14,21,2
14,23,2
15,23,1
15,21,2
15,20,2
15,18,1
15,16,1
15,15,2
15,14,1
15,13,1
15,12,1
15,9,1
15,8,2
15,6,1
15,4,2
15,2,1
15,1,2
