Row,Column,Droplet
0,0,5
0,2,7
0,3,7
0,4,1
0,5,2
0,6,4
0,7,8
0,8,1
0,9,2
0,10,7
0,12,4
0,13,8
0,14,8
0,15,2
0,17,1
0,18,4
0,19,4
0,20,8
0,21,10
0,22,2
0,23,4
1,23,1
1,22,1
1,21,8
1,20,1
1,19,1
1,18,8
1,16,7
1,15,4
1,14,4
1,13,7
1,12,4
1,11,1
1,10,5
1,9,4
1,8,1
1,7,8
1,6,7
1,5,5
1,4,1
1,3,7
1,2,7
1,1,7
1,0,1
2,0,1
2,1,8
2,2,2
2,3,2
2,4,5
2,5,2
2,6,8
2,7,7
2,8,2
2,9,4
2,10,1
2,11,8
2,12,1
2,13,7
2,14,2
2,15,8
2,16,1
2,17,7
2,18,5
2,19,10
2,20,1
2,21,2
2,22,7
2,23,2
3,23,7
3,22,4
3,21,8
3,20,8
3,19,4
3,18,2
3,17,8
3,16,5
3,15,4
3,14,7
3,13,4
3,12,2
3,11,2
3,10,7
3,9,7
3,7,2
3,6,5
3,5,2
3,4,4
3,3,7
3,2,1
3,1,2
4,0,2
4,2,5
4,3,7
4,4,4
4,5,1
4,6,7
4,7,10
4,8,2
4,9,2
4,10,4
4,11,1
4,12,4
4,14,2
4,15,1
4,16,7
4,17,5
4,18,1
4,19,7
4,20,4
4,21,7
4,22,5
4,23,4
5,23,7
5,22,1
5,21,7
5,20,1
5,19,8
5,18,8
5,17,8
5,16,8
5,15,5
5,14,4
5,13,5
5,12,4
5,11,1
5,10,2
5,9,2
5,8,5
5,7,8
5,6,7
5,5,2
5,4,2
5,3,8
5,2,8
5,1,4
5,0,5
6,0,8
6,1,1
6,2,2
6,4,2
6,5,10
6,6,4
6,7,5
6,8,8
6,9,8
6,10,8
6,11,8
6,12,1
6,13,2
6,14,2
6,15,1
6,16,1
6,17,7
6,18,2
6,19,7
6,20,4
6,21,2
6,22,2
6,23,1
7,23,7
7,22,1
7,21,1
7,20,4
7,19,1
7,18,2
7,17,4
7,16,8
7,15,4
7,14,7
7,13,7
7,12,4
7,11,8
7,10,7
7,9,2
7,8,1
7,7,10
7,6,10
7,5,5
7,4,2
7,3,8
7,2,2
7,1,4
7,0,2
8,0,1
8,1,2
8,2,5
8,3,2
8,4,2
8,5,8
8,7,8
8,9,4
8,10,5
8,11,5
8,12,4
8,13,4
8,14,2
8,15,5
8,16,5
8,17,7
8,18,5
8,19,2
8,20,4
8,21,7
8,22,5
8,23,4
9,23,1
9,22,5
9,21,8
9,20,10
9,19,1
9,18,1
9,17,8
9,15,8
9,14,4
9,13,4
9,11,8
9,10,1
9,9,4
9,8,7
9,7,5
9,6,7
9,5,7
9,4,4
9,3,7
9,2,1
9,1,4
9,0,1
10,0,10
10,1,7
10,2,2
10,3,5
10,4,7
10,5,10
10,8,8
10,9,1
10,10,7
10,11,1
10,12,1
10,13,8
10,14,7
10,15,7
10,16,5
10,17,7
10,18,10
10,19,7
10,20,2
10,21,2
10,22,2
10,23,8
11,23,1
11,22,7
11,21,5
11,20,8
11,19,7
11,18,7
11,17,8
11,16,5
11,15,8
11,13,1
11,12,10
11,11,4
11,10,2
11,9,2
11,8,8
11,7,8
11,6,7
11,5,4
11,4,5
11,3,8
11,2,8
11,1,1
11,0,2
12,0,4
12,1,7
12,2,4
12,4,7
12,6,8
12,7,8
12,8,8
12,9,2
12,10,7
12,13,2
12,14,7
12,15,1
12,16,2
12,17,1
12,18,8
12,19,2
12,21,2
12,22,2
13,23,7
13,22,4
13,21,1
13,20,7
13,19,8
13,18,7
13,17,2
13,16,4
13,15,1
13,14,5
13,13,10
13,12,7
13,11,1
13,10,7
13,9,7
13,8,1
13,7,5
13,6,4
13,5,7
13,4,2
13,3,8
13,2,7
13,1,8
13,0,8
14,0,5
14,1,2
14,2,8
14,3,7
14,4,8
14,5,2
14,7,4
14,8,7
14,9,8
14,10,4
14,11,1
14,12,7
14,13,1
14,14,2
14,15,2
14,16,7
14,17,7
14,18,10
14,20,7
14,21,5
14,22,8
15,23,2
15,22,4
15,21,4
15,20,8
15,19,2
15,18,4
15,17,10
15,15,2
15,14,4
15,13,1
15,11,4
15,10,2
15,9,7
15,8,2
15,7,2
15,6,8
15,5,2
15,4,1
15,3,4
15,2,7
15,1,1
15,0,10
