K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,rep,well_name,plate,exp_rep,unique_id
135,DOPC,20,2,1.25,3,AqpZ,5,3,A1,1,1,1
135,DOPC,20,2,1.25,3,AqpZ,5,2,A2,1,1,13
85,DOPC,20,2,0.0,3,AqpZ,5,2,A3,1,1,25
85,DOPC,20,2,0.0,3,PDGFRB2,5,4,A4,1,1,37
85,DOPC,20,2,0.0,3,PDGFRB2,5,1,B1,1,1,2
135,no_lipo,20,2,1.25,3,AqpZ,5,3,B2,1,1,14
85,DOPC,20,2,0.0,3,PDGFRB2,5,2,B3,1,1,26
135,no_lipo,20,2,1.25,3,AqpZ,5,4,B4,1,1,38
135,no_lipo,20,2,1.25,3,PDGFRB2,5,1,C1,1,1,3
85,no_lipo,20,2,0.0,3,AqpZ,5,4,C2,1,1,15
135,DOPC,20,2,1.25,3,PDGFRB2,5,4,C3,1,1,27
135,no_lipo,20,2,1.25,3,AqpZ,5,1,C4,1,1,39
135,no_lipo,20,2,1.25,3,Blank,5,3,D1,1,1,4
85,DOPC,20,2,0.0,3,Blank,5,1,D2,1,1,16
85,no_lipo,20,2,0.0,3,Blank,5,1,D3,1,1,28
85,DOPC,20,2,0.0,3,AqpZ,5,4,D4,1,1,40
135,DOPC,20,2,1.25,3,PDGFRB2,5,2,E1,1,1,5
85,no_lipo,20,2,0.0,3,PDGFRB2,5,1,E2,1,1,17
85,no_lipo,20,2,0.0,3,AqpZ,5,3,E3,1,1,29
135,DOPC,20,2,1.25,3,Blank,5,2,E4,1,1,41
85,no_lipo,20,2,0.0,3,AqpZ,5,1,F1,1,1,6
85,no_lipo,20,2,0.0,3,Blank,5,4,F2,1,1,18
85,no_lipo,20,2,0.0,3,Blank,5,2,F3,1,1,30
135,no_lipo,20,2,1.25,3,PDGFRB2,5,3,F4,1,1,42
135,DOPC,20,2,1.25,3,Blank,5,4,G1,1,1,7
85,DOPC,20,2,0.0,3,Blank,5,4,G2,1,1,19
85,no_lipo,20,2,0.0,3,Blank,5,3,G3,1,1,31
85,no_lipo,20,2,0.0,3,PDGFRB2,5,3,G4,1,1,43
135,DOPC,20,2,1.25,3,Blank,5,3,H1,1,1,8
85,no_lipo,20,2,0.0,3,AqpZ,5,2,H2,1,1,20
135,DOPC,20,2,1.25,3,AqpZ,5,1,H3,1,1,32
135,DOPC,20,2,1.25,3,AqpZ,5,4,H4,1,1,44
85,DOPC,20,2,0.0,3,Blank,5,3,I1,1,1,9
85,DOPC,20,2,0.0,3,AqpZ,5,3,I2,1,1,21
135,no_lipo,20,2,1.25,3,AqpZ,5,2,I3,1,1,33
135,DOPC,20,2,1.25,3,PDGFRB2,5,3,I4,1,1,45
135,no_lipo,20,2,1.25,3,Blank,5,4,J1,1,1,10
135,no_lipo,20,2,1.25,3,PDGFRB2,5,2,J2,1,1,22
85,no_lipo,20,2,0.0,3,PDGFRB2,5,2,J3,1,1,34
85,no_lipo,20,2,0.0,3,PDGFRB2,5,4,J4,1,1,46
135,DOPC,20,2,1.25,3,PDGFRB2,5,1,K1,1,1,11
135,no_lipo,20,2,1.25,3,Blank,5,1,K2,1,1,23
85,DOPC,20,2,0.0,3,Blank,5,2,K3,1,1,35
135,no_lipo,20,2,1.25,3,Blank,5,2,K4,1,1,47
85,DOPC,20,2,0.0,3,AqpZ,5,1,L1,1,1,12
85,DOPC,20,2,0.0,3,PDGFRB2,5,3,L2,1,1,24
135,no_lipo,20,2,1.25,3,PDGFRB2,5,4,L3,1,1,36
135,DOPC,20,2,1.25,3,Blank,5,1,L4,1,1,48
