reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
AqpZ,A23,1,23,0,22,2
AqpZ,B7,2,7,1,6,2
AqpZ,D5,4,5,3,4,2
AqpZ,D20,4,20,3,19,2
AqpZ,E20,5,20,4,19,2
AqpZ,F3,6,3,5,2,2
AqpZ,F4,6,4,5,3,2
AqpZ,F5,6,5,5,4,2
AqpZ,F11,6,11,5,10,2
AqpZ,G10,7,10,6,9,2
AqpZ,G11,7,11,6,10,2
AqpZ,G13,7,13,6,12,2
AqpZ,G15,7,15,6,14,2
AqpZ,I4,9,4,8,3,2
AqpZ,J2,10,2,9,1,2
AqpZ,J3,10,3,9,2,2
AqpZ,J5,10,5,9,4,2
AqpZ,K19,11,19,10,18,2
AqpZ,M22,13,22,12,21,2
AqpZ,M24,13,24,12,23,2
AqpZ,N2,14,2,13,1,2
AqpZ,N18,14,18,13,17,2
AqpZ,N19,14,19,13,18,2
AqpZ,O5,15,5,14,4,2
Blank,A4,1,4,0,3,2
Blank,B4,2,4,1,3,2
Blank,B8,2,8,1,7,2
Blank,B21,2,21,1,20,2
Blank,C3,3,3,2,2,2
Blank,C18,3,18,2,17,2
Blank,D3,4,3,3,2,2
Blank,D8,4,8,3,7,2
Blank,E2,5,2,4,1,2
Blank,E10,5,10,4,9,2
Blank,G4,7,4,6,3,2
Blank,G20,7,20,6,19,2
Blank,H8,8,8,7,7,2
Blank,I1,9,1,8,0,2
Blank,I15,9,15,8,14,2
Blank,I16,9,16,8,15,2
Blank,I22,9,22,8,21,2
Blank,J10,10,10,9,9,2
Blank,J23,10,23,9,22,2
Blank,K20,11,20,10,19,2
Blank,M11,13,11,12,10,2
Blank,M20,13,20,12,19,2
Blank,N4,14,4,13,3,2
Blank,N15,14,15,13,14,2
DOPC,A1,1,1,0,0,4
DOPC,A15,1,15,0,14,4
DOPC,A16,1,16,0,15,4
DOPC,A19,1,19,0,18,4
DOPC,A23,1,23,0,22,4
DOPC,B3,2,3,1,2,4
DOPC,B4,2,4,1,3,4
DOPC,B13,2,13,1,12,4
DOPC,B15,2,15,1,14,4
DOPC,B21,2,21,1,20,4
DOPC,C6,3,6,2,5,4
DOPC,C10,3,10,2,9,4
DOPC,C14,3,14,2,13,4
DOPC,C18,3,18,2,17,4
DOPC,C23,3,23,2,22,4
DOPC,C24,3,24,2,23,4
DOPC,D5,4,5,3,4,4
DOPC,D22,4,22,3,21,4
DOPC,D24,4,24,3,23,4
DOPC,E20,5,20,4,19,4
DOPC,F4,6,4,5,3,4
DOPC,G1,7,1,6,0,4
DOPC,G4,7,4,6,3,4
DOPC,G7,7,7,6,6,4
DOPC,G11,7,11,6,10,4
DOPC,G13,7,13,6,12,4
DOPC,H2,8,2,7,1,4
DOPC,H4,8,4,7,3,4
DOPC,H8,8,8,7,7,4
DOPC,H16,8,16,7,15,4
DOPC,I1,9,1,8,0,4
DOPC,I3,9,3,8,2,4
DOPC,I4,9,4,8,3,4
DOPC,I12,9,12,8,11,4
DOPC,I16,9,16,8,15,4
DOPC,I24,9,24,8,23,4
DOPC,J3,10,3,9,2,4
DOPC,J10,10,10,9,9,4
DOPC,J11,10,11,9,10,4
DOPC,J23,10,23,9,22,4
DOPC,K4,11,4,10,3,4
DOPC,K5,11,5,10,4,4
DOPC,K19,11,19,10,18,4
DOPC,L11,12,11,11,10,4
DOPC,L23,12,23,11,22,4
DOPC,M11,13,11,12,10,4
DOPC,M16,13,16,12,15,4
DOPC,M20,13,20,12,19,4
DOPC,M24,13,24,12,23,4
DOPC,N2,14,2,13,1,4
DOPC,N4,14,4,13,3,4
DOPC,N6,14,6,13,5,4
DOPC,N13,14,13,13,12,4
DOPC,N20,14,20,13,19,4
DOPC,O1,15,1,14,0,4
DOPC,O5,15,5,14,4,4
DOPC,O7,15,7,14,6,4
DOPC,O12,15,12,14,11,4
DOPC,O16,15,16,14,15,4
DOPC,O17,15,17,14,16,4
K,A15,1,15,0,14,1
K,A16,1,16,0,15,1
K,A18,1,18,0,17,1
K,A19,1,19,0,18,1
K,B1,2,1,1,0,1
K,B3,2,3,1,2,1
K,B7,2,7,1,6,1
K,B15,2,15,1,14,1
K,B21,2,21,1,20,1
K,C3,3,3,2,2,1
K,C7,3,7,2,6,1
K,C14,3,14,2,13,1
K,C24,3,24,2,23,1
K,D4,4,4,3,3,1
K,D8,4,8,3,7,1
K,D22,4,22,3,21,1
K,D24,4,24,3,23,1
K,E2,5,2,4,1,1
K,E6,5,6,4,5,1
K,F3,6,3,5,2,1
K,F4,6,4,5,3,1
K,F5,6,5,5,4,1
K,F11,6,11,5,10,1
K,F20,6,20,5,19,1
K,G1,7,1,6,0,1
K,G2,7,2,6,1,1
K,G4,7,4,6,3,1
K,G8,7,8,6,7,1
K,G11,7,11,6,10,1
K,G13,7,13,6,12,1
K,G15,7,15,6,14,1
K,G20,7,20,6,19,1
K,H2,8,2,7,1,1
K,H4,8,4,7,3,1
K,H5,8,5,7,4,1
K,H9,8,9,7,8,1
K,H16,8,16,7,15,1
K,I1,9,1,8,0,1
K,I2,9,2,8,1,1
K,I3,9,3,8,2,1
K,I4,9,4,8,3,1
K,I8,9,8,8,7,1
K,I12,9,12,8,11,1
K,I15,9,15,8,14,1
K,I16,9,16,8,15,1
K,I22,9,22,8,21,1
K,I24,9,24,8,23,1
K,J1,10,1,9,0,1
K,J3,10,3,9,2,1
K,J10,10,10,9,9,1
K,J11,10,11,9,10,1
K,J20,10,20,9,19,1
K,J23,10,23,9,22,1
K,K5,11,5,10,4,1
K,K8,11,8,10,7,1
K,K11,11,11,10,10,1
K,K12,11,12,10,11,1
K,K19,11,19,10,18,1
K,K20,11,20,10,19,1
K,K22,11,22,10,21,1
K,L11,12,11,11,10,1
