well_name,plate,exp_rep,K,SecYE,Mg,PEG,Liposome_conc,DNA_conc,Liposome_name,DNA_name,water_droplets,rep
A11,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,1
A12,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,1
A14,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,1
A20,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,2
A22,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,3
A5,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,1
A7,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,2
A8,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,3
A9,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,2
B12,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,1
B19,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,2
B20,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,3
B22,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,4
B24,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,4
C1,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,5
C21,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,4
C22,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,5
C4,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,2
C5,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,3
D10,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,5
D11,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,6
D12,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,3
D14,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,4
D17,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,4
D2,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,6
D21,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,5
D23,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,6
D6,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,6
E1,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,7
E14,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,5
E17,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,6
E18,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,8
E3,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,7
E5,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,8
E7,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,7
F12,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,7
F13,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,8
F14,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,9
F18,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,9
F19,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,10
F2,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,8
F22,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,10
F23,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,9
F24,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,10
F6,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,9
F7,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,11
F8,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,11
F9,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,10
G14,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,11
G19,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,12
G21,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,13
G6,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,12
G9,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,11
H1,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,14
H10,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,7
H11,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,13
H12,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,15
H14,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,12
H15,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,13
H18,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,8
H19,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,16
H20,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,12
H7,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,14
I13,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,13
I14,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,14
I20,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,9
I7,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,10
J12,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,15
J24,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,11
J4,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,12
J6,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,16
K1,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,15
K15,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,14
K16,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,16
K17,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,13
K18,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,17
K24,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,14
K3,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,15
K6,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,18
K7,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,16
K9,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,17
L1,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,17
L10,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,19
L12,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,17
L14,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,18
L15,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,18
L16,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,20
L18,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,19
L19,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,19
L2,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,20
L20,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,18
L21,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,15
L22,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,19
L5,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,20
L8,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,21
L9,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,21
M1,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,20
M13,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,16
M15,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,17
M17,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,18
M19,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,21
M2,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,Blank,0,22
M21,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,21
M5,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,0,22
M7,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,19
M8,1,2,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1,2,22
M9,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,20
N10,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,2,21
N17,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,0,23
N8,1,2,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,22
O10,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,22
O13,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,23
O15,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,AqpZ,0,23
O20,1,2,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1-TAT,2,24
O21,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,TFR1,2,23
O22,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,23
O23,1,2,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,24
O24,1,2,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,TFR1,0,24
O4,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,24
O9,1,2,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,0,24
